<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
HYDR;W;05/09/11;000000;1.2510000;3224073000
HYDR;W;12/09/11;000000;1.2712000;3330841000
HYDR;W;19/09/11;000000;1.0812000;2999055000
HYDR;W;26/09/11;000000;1.0471000;3494229000
HYDR;W;03/10/11;000000;1.1038000;3469481000
HYDR;W;10/10/11;000000;1.1270000;2832910000
HYDR;W;17/10/11;000000;1.0850000;3011651000
HYDR;W;24/10/11;000000;1.1480000;3890075000
HYDR;W;31/10/11;000000;1.1520000;2086125000
HYDR;W;07/11/11;000000;1.1722000;2427216000
HYDR;W;14/11/11;000000;1.1502000;1958722000
HYDR;W;21/11/11;000000;1.1332000;1932202000
HYDR;W;28/11/11;000000;1.1999000;3168303000
HYDR;W;05/12/11;000000;1.0705000;2896809000
HYDR;W;12/12/11;000000;1.0820000;3958158000
HYDR;W;19/12/11;000000;1.0020000;2339075000
HYDR;W;26/12/11;000000;0.9658000;2291726000
HYDR;W;02/01/12;000000;1.0030000;1112828000
HYDR;W;09/01/12;000000;1.0272000;2339141000
HYDR;W;16/01/12;000000;1.0498000;2522161000
HYDR;W;23/01/12;000000;1.1230000;3243615000
HYDR;W;30/01/12;000000;1.1730000;3949076000
HYDR;W;06/02/12;000000;1.0885000;3475974000
HYDR;W;13/02/12;000000;1.1401000;2827847000
HYDR;W;20/02/12;000000;1.1779000;2565693000
HYDR;W;27/02/12;000000;1.1961000;3566409000
HYDR;W;05/03/12;000000;1.1884000;2283657000
HYDR;W;12/03/12;000000;1.1464000;3475151000
HYDR;W;19/03/12;000000;1.1115000;3416083000
HYDR;W;26/03/12;000000;1.0861000;2657372000
HYDR;W;02/04/12;000000;1.0410000;1909904000
HYDR;W;09/04/12;000000;1.0568000;1647156000
HYDR;W;16/04/12;000000;1.0850000;2497093000
HYDR;W;23/04/12;000000;1.0403000;2555315000
HYDR;W;30/04/12;000000;0.9380000;2037052000
HYDR;W;07/05/12;000000;0.9500000;1602432000
HYDR;W;14/05/12;000000;0.8032000;3993291000
HYDR;W;21/05/12;000000;0.7760000;4372104000
HYDR;W;28/05/12;000000;0.8045000;3226109000
HYDR;W;04/06/12;000000;0.8510000;2931504000
HYDR;W;11/06/12;000000;0.8822000;1786856000
HYDR;W;18/06/12;000000;0.7930000;6268186000
HYDR;W;25/06/12;000000;0.7880000;3761396000
HYDR;W;02/07/12;000000;0.8076000;3368705000
HYDR;W;09/07/12;000000;0.8584000;4846215000
HYDR;W;16/07/12;000000;0.8527000;2396082000
HYDR;W;23/07/12;000000;0.8192000;2348621000
HYDR;W;30/07/12;000000;0.8556000;2844790000
HYDR;W;06/08/12;000000;0.8581000;2209594000
HYDR;W;13/08/12;000000;0.8762000;3302541000
HYDR;W;20/08/12;000000;0.8560000;2235349000
HYDR;W;27/08/12;000000;0.8170000;3347111000
HYDR;W;03/09/12;000000;0.8645000;2642359000
HYDR;W;10/09/12;000000;0.8852000;3801017000
HYDR;W;17/09/12;000000;0.8655000;6671770000
HYDR;W;24/09/12;000000;0.8545000;2636101000
HYDR;W;01/10/12;000000;0.8685000;1891698000
HYDR;W;08/10/12;000000;0.8430000;2994021000
HYDR;W;15/10/12;000000;0.8267000;2332396000
HYDR;W;22/10/12;000000;0.7819000;3606826000
