<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SNGS;W;05/09/11;000000;23.4880000;175003200
SNGS;W;12/09/11;000000;25.3400000;285278000
SNGS;W;19/09/11;000000;24.1960000;242263200
SNGS;W;26/09/11;000000;26.2000000;200953200
SNGS;W;03/10/11;000000;25.2230000;193592800
SNGS;W;10/10/11;000000;25.5500000;146401500
SNGS;W;17/10/11;000000;24.8990000;162026100
SNGS;W;24/10/11;000000;26.4200000;161145300
SNGS;W;31/10/11;000000;26.6850000;103991600
SNGS;W;07/11/11;000000;27.3630000;117094500
SNGS;W;14/11/11;000000;28.3700000;154485700
SNGS;W;21/11/11;000000;26.8750000;123089400
SNGS;W;28/11/11;000000;29.4180000;143090600
SNGS;W;05/12/11;000000;26.5690000;143085300
SNGS;W;12/12/11;000000;24.9010000;216809200
SNGS;W;19/12/11;000000;24.6600000;120780500
SNGS;W;26/12/11;000000;25.2800000;56160600
SNGS;W;02/01/12;000000;26.0000000;56932900
SNGS;W;09/01/12;000000;26.0500000;103508700
SNGS;W;16/01/12;000000;27.4000000;139786900
SNGS;W;23/01/12;000000;27.5650000;127698500
SNGS;W;30/01/12;000000;29.3500000;125767600
SNGS;W;06/02/12;000000;27.9750000;123488500
SNGS;W;13/02/12;000000;28.7400000;110182300
SNGS;W;20/02/12;000000;30.5770000;139839900
SNGS;W;27/02/12;000000;30.5800000;163924100
SNGS;W;05/03/12;000000;30.9530000;96283100
SNGS;W;12/03/12;000000;32.6990000;224519100
SNGS;W;19/03/12;000000;29.8000000;188375500
SNGS;W;26/03/12;000000;28.8000000;219130400
SNGS;W;02/04/12;000000;28.2190000;181822000
SNGS;W;09/04/12;000000;28.6700000;180674700
SNGS;W;16/04/12;000000;29.2800000;191970300
SNGS;W;23/04/12;000000;28.8550000;111749200
SNGS;W;30/04/12;000000;26.6730000;92935900
SNGS;W;07/05/12;000000;27.4200000;85431600
SNGS;W;14/05/12;000000;24.7890000;163974700
SNGS;W;21/05/12;000000;25.3840000;133155500
SNGS;W;28/05/12;000000;24.7700000;127589600
SNGS;W;04/06/12;000000;26.0090000;146700000
SNGS;W;11/06/12;000000;26.7430000;95112400
SNGS;W;18/06/12;000000;26.0560000;128205200
SNGS;W;25/06/12;000000;26.7480000;126168700
SNGS;W;02/07/12;000000;27.8950000;148663500
SNGS;W;09/07/12;000000;27.2210000;134767500
SNGS;W;16/07/12;000000;27.1670000;99204500
SNGS;W;23/07/12;000000;26.6900000;147360700
SNGS;W;30/07/12;000000;27.8940000;144033000
SNGS;W;06/08/12;000000;28.7990000;135805200
SNGS;W;13/08/12;000000;28.3000000;123825300
SNGS;W;20/08/12;000000;28.5000000;124329400
SNGS;W;27/08/12;000000;27.8810000;78633900
SNGS;W;03/09/12;000000;28.7990000;143610300
SNGS;W;10/09/12;000000;31.3800000;162102500
SNGS;W;17/09/12;000000;28.6080000;236831600
SNGS;W;24/09/12;000000;28.1630000;155808300
SNGS;W;01/10/12;000000;28.7620000;144946200
SNGS;W;08/10/12;000000;28.3000000;100726200
SNGS;W;15/10/12;000000;28.4650000;99205900
SNGS;W;22/10/12;000000;27.6380000;114502300
SNGS;W;29/10/12;000000;27.9510000;102366100
SNGS;W;05/11/12;000000;26.8900000;93009900
SNGS;W;12/11/12;000000;25.6610000;120076400
SNGS;W;19/11/12;000000;26.3500000;88498800
SNGS;W;26/11/12;000000;26.0790000;107846900
SNGS;W;03/12/12;000000;26.9670000;118990500
SNGS;W;10/12/12;000000;27.4280000;112593900
SNGS;W;17/12/12;000000;27.0270000;105610900
SNGS;W;24/12/12;000000;26.8000000;52624300
SNGS;W;07/01/13;000000;27.9700000;71814700
SNGS;W;14/01/13;000000;28.7030000;85620800
SNGS;W;21/01/13;000000;29.4920000;97260900
SNGS;W;28/01/13;000000;31.3870000;229955900
SNGS;W;04/02/13;000000;30.1200000;128740500
SNGS;W;11/02/13;000000;30.3960000;137731600
SNGS;W;18/02/13;000000;29.0890000;93809400
SNGS;W;25/02/13;000000;28.5840000;103843200
SNGS;W;04/03/13;000000;29.1360000;70659800
SNGS;W;11/03/13;000000;28.8860000;119607600
SNGS;W;18/03/13;000000;27.2520000;125973000
SNGS;W;25/03/13;000000;27.8180000;107931400
SNGS;W;01/04/13;000000;29.8490000;170657100
SNGS;W;08/04/13;000000;28.1990000;105041900
SNGS;W;15/04/13;000000;27.6800000;143730900
SNGS;W;22/04/13;000000;28.1480000;205480100
SNGS;W;29/04/13;000000;26.6460000;169841900
SNGS;W;06/05/13;000000;26.3980000;90521700
SNGS;W;13/05/13;000000;26.4010000;147420700
SNGS;W;20/05/13;000000;25.2020000;135473500
SNGS;W;27/05/13;000000;24.3000000;158320500
SNGS;W;03/06/13;000000;24.5510000;159748300
SNGS;W;10/06/13;000000;24.2050000;157972200
SNGS;W;17/06/13;000000;24.5430000;145333600
SNGS;W;24/06/13;000000;25.9230000;124688100
SNGS;W;01/07/13;000000;25.2090000;86595600
SNGS;W;08/07/13;000000;26.8200000;142311200
SNGS;W;15/07/13;000000;26.2250000;135115800
SNGS;W;22/07/13;000000;26.8400000;72770800
SNGS;W;29/07/13;000000;26.1560000;105367400
SNGS;W;05/08/13;000000;25.4840000;103453200
SNGS;W;12/08/13;000000;25.5890000;91726300
SNGS;W;19/08/13;000000;25.9590000;78391500
SNGS;W;26/08/13;000000;26.0720000;88014900
SNGS;W;02/09/13;000000;27.3940000;118601900
SNGS;W;09/09/13;000000;26.9900000;136277100
SNGS;W;16/09/13;000000;27.5150000;134133000
SNGS;W;23/09/13;000000;28.5600000;114815500
SNGS;W;30/09/13;000000;28.0990000;116481800
SNGS;W;07/10/13;000000;28.9960000;96163000
SNGS;W;14/10/13;000000;29.4500000;130650100
SNGS;W;21/10/13;000000;28.3880000;116526700
SNGS;W;28/10/13;000000;28.7500000;104075400
SNGS;W;04/11/13;000000;28.4010000;98099200
SNGS;W;11/11/13;000000;28.1300000;117138900
SNGS;W;18/11/13;000000;28.2650000;100812000
SNGS;W;25/11/13;000000;27.3980000;126311500
SNGS;W;02/12/13;000000;26.9000000;164063100
SNGS;W;09/12/13;000000;27.0400000;130379500
SNGS;W;16/12/13;000000;28.0310000;140643000
SNGS;W;23/12/13;000000;28.0910000;53852700
SNGS;W;30/12/13;000000;28.3640000;8927400
SNGS;W;06/01/14;000000;27.5100000;69694200
SNGS;W;13/01/14;000000;27.7010000;102242900
SNGS;W;20/01/14;000000;28.4170000;100740000
SNGS;W;27/01/14;000000;26.9450000;191594700
SNGS;W;03/02/14;000000;27.2990000;125849000
SNGS;W;10/02/14;000000;27.2840000;109992200
SNGS;W;17/02/14;000000;27.6830000;87329600
SNGS;W;24/02/14;000000;27.3500000;148122600
SNGS;W;03/03/14;000000;26.9320000;216391300
SNGS;W;10/03/14;000000;25.4770000;178884800
SNGS;W;17/03/14;000000;26.2890000;215056600
SNGS;W;24/03/14;000000;25.5210000;155885700
SNGS;W;31/03/14;000000;26.1470000;147442300
SNGS;W;07/04/14;000000;25.9000000;145031500
SNGS;W;14/04/14;000000;25.7000000;143217400
SNGS;W;21/04/14;000000;24.5750000;101851500
SNGS;W;28/04/14;000000;24.8200000;123008600
SNGS;W;05/05/14;000000;25.2700000;93590800
SNGS;W;12/05/14;000000;25.5740000;107268600
SNGS;W;19/05/14;000000;26.3070000;129162600
SNGS;W;26/05/14;000000;25.0890000;94363500
SNGS;W;02/06/14;000000;27.1390000;124745800
SNGS;W;09/06/14;000000;27.5590000;53140800
SNGS;W;16/06/14;000000;27.1860000;159229800
SNGS;W;23/06/14;000000;26.6000000;78385300
SNGS;W;30/06/14;000000;26.5950000;74719000
SNGS;W;07/07/14;000000;26.9000000;89502800
SNGS;W;14/07/14;000000;24.8110000;111525500
SNGS;W;21/07/14;000000;24.8600000;103076800
SNGS;W;28/07/14;000000;25.5110000;89208300
SNGS;W;04/08/14;000000;25.2690000;136216600
SNGS;W;11/08/14;000000;26.1160000;88815600
SNGS;W;18/08/14;000000;26.5830000;79134900
SNGS;W;25/08/14;000000;25.5250000;83027400
SNGS;W;01/09/14;000000;26.7660000;89531700
SNGS;W;08/09/14;000000;26.9500000;80216800
SNGS;W;15/09/14;000000;27.1360000;123569600
SNGS;W;22/09/14;000000;26.9770000;67230600
SNGS;W;29/09/14;000000;26.0100000;112110500
SNGS;W;06/10/14;000000;25.7500000;94585500
SNGS;W;13/10/14;000000;26.9650000;117878400
SNGS;W;20/10/14;000000;26.2150000;132803200
SNGS;W;27/10/14;000000;28.7950000;187600000
SNGS;W;03/11/14;000000;27.7650000;123623400
SNGS;W;10/11/14;000000;28.9500000;135029500
SNGS;W;17/11/14;000000;29.7000000;146216900
SNGS;W;24/11/14;000000;29.2000000;113258400
SNGS;W;01/12/14;000000;29.8500000;176493500
SNGS;W;08/12/14;000000;26.4500000;200684000
SNGS;W;15/12/14;000000;24.4200000;335097200
SNGS;W;22/12/14;000000;24.3000000;116965000
SNGS;W;29/12/14;000000;23.5200000;45284800
SNGS;W;05/01/15;000000;25.6500000;78071200
SNGS;W;12/01/15;000000;26.1500000;104663800
SNGS;W;19/01/15;000000;29.4750000;221780800
SNGS;W;26/01/15;000000;31.1000000;251537700
SNGS;W;02/02/15;000000;35.5000000;233961500
SNGS;W;09/02/15;000000;36.6000000;314503500
SNGS;W;16/02/15;000000;34.3350000;131782100
SNGS;W;23/02/15;000000;34.2000000;116475200
