<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
URKA;W;05/09/11;000000;276.0300000;14044140
URKA;W;12/09/11;000000;289.6500000;20034540
URKA;W;19/09/11;000000;236.0000000;29530050
URKA;W;26/09/11;000000;223.0000000;37517460
URKA;W;03/10/11;000000;238.8200000;65633640
URKA;W;10/10/11;000000;247.0800000;45150660
URKA;W;17/10/11;000000;247.5800000;26449030
URKA;W;24/10/11;000000;272.1900000;26440530
URKA;W;31/10/11;000000;262.5300000;30472200
URKA;W;07/11/11;000000;246.7500000;23426900
URKA;W;14/11/11;000000;245.0200000;23964190
URKA;W;21/11/11;000000;233.7500000;36759510
URKA;W;28/11/11;000000;238.5700000;28126450
URKA;W;05/12/11;000000;213.7500000;28772170
URKA;W;12/12/11;000000;224.0000000;46652610
URKA;W;19/12/11;000000;226.3800000;35860430
URKA;W;26/12/11;000000;231.5000000;10850060
URKA;W;02/01/12;000000;230.2700000;9016650
URKA;W;09/01/12;000000;224.5100000;24252510
URKA;W;16/01/12;000000;222.4900000;17045060
URKA;W;23/01/12;000000;215.3000000;26546620
URKA;W;30/01/12;000000;228.9300000;21895570
URKA;W;06/02/12;000000;221.9900000;17270780
URKA;W;13/02/12;000000;239.5000000;26385100
URKA;W;20/02/12;000000;243.0000000;14301890
URKA;W;27/02/12;000000;236.1500000;15612950
URKA;W;05/03/12;000000;235.2600000;10214150
URKA;W;12/03/12;000000;225.7300000;29924470
URKA;W;19/03/12;000000;224.8500000;19788310
URKA;W;26/03/12;000000;222.5000000;14497940
URKA;W;02/04/12;000000;215.9800000;15132060
URKA;W;09/04/12;000000;221.7800000;13604410
URKA;W;16/04/12;000000;222.9800000;15051240
URKA;W;23/04/12;000000;221.9600000;16347280
URKA;W;30/04/12;000000;212.6000000;10220070
URKA;W;07/05/12;000000;218.0100000;9247520
URKA;W;14/05/12;000000;217.6100000;17795480
URKA;W;21/05/12;000000;223.0100000;20514040
URKA;W;28/05/12;000000;233.9200000;26681610
URKA;W;04/06/12;000000;229.6000000;16774940
URKA;W;11/06/12;000000;238.2500000;24944390
URKA;W;18/06/12;000000;228.0700000;15557550
URKA;W;25/06/12;000000;248.4200000;16966400
URKA;W;02/07/12;000000;259.0000000;15910590
URKA;W;09/07/12;000000;259.5000000;15843900
URKA;W;16/07/12;000000;272.5900000;14724830
URKA;W;23/07/12;000000;267.7500000;13098360
URKA;W;30/07/12;000000;267.9000000;12922210
URKA;W;06/08/12;000000;258.1100000;14646100
URKA;W;13/08/12;000000;257.1200000;10566130
URKA;W;20/08/12;000000;258.5700000;10984620
URKA;W;27/08/12;000000;247.0000000;10483980
URKA;W;03/09/12;000000;257.6800000;13687560
URKA;W;10/09/12;000000;257.0100000;22804230
URKA;W;17/09/12;000000;265.8100000;40532030
URKA;W;24/09/12;000000;257.5300000;12744680
URKA;W;01/10/12;000000;256.0500000;13752000
URKA;W;08/10/12;000000;251.2500000;8329190
URKA;W;15/10/12;000000;240.0100000;21054690
URKA;W;22/10/12;000000;242.7900000;12410530
URKA;W;29/10/12;000000;247.0200000;12100370
URKA;W;05/11/12;000000;230.5000000;13331550
URKA;W;12/11/12;000000;229.0000000;14108300
URKA;W;19/11/12;000000;233.8900000;9345670
URKA;W;26/11/12;000000;230.2000000;8133630
URKA;W;03/12/12;000000;234.5000000;13520020
URKA;W;10/12/12;000000;244.4500000;12381110
URKA;W;17/12/12;000000;236.0000000;12611220
URKA;W;24/12/12;000000;234.7500000;5660490
URKA;W;07/01/13;000000;231.3800000;9811470
URKA;W;14/01/13;000000;230.0000000;12650960
URKA;W;21/01/13;000000;231.0800000;11164780
URKA;W;28/01/13;000000;235.5000000;22440410
URKA;W;04/02/13;000000;231.0000000;14775060
URKA;W;11/02/13;000000;231.5700000;13709870
URKA;W;18/02/13;000000;228.8200000;9778050
URKA;W;25/02/13;000000;233.3700000;10124160
URKA;W;04/03/13;000000;231.1900000;6711440
URKA;W;11/03/13;000000;231.5700000;12748550
URKA;W;18/03/13;000000;229.8100000;13742330
URKA;W;25/03/13;000000;231.8700000;8258050
URKA;W;01/04/13;000000;235.4400000;8638140
URKA;W;08/04/13;000000;227.0400000;16097580
URKA;W;15/04/13;000000;233.2000000;36839590
URKA;W;22/04/13;000000;227.3000000;26297450
URKA;W;29/04/13;000000;226.9900000;10810680
URKA;W;06/05/13;000000;228.8100000;7722280
URKA;W;13/05/13;000000;226.8100000;7989050
URKA;W;20/05/13;000000;227.6000000;25768520
URKA;W;27/05/13;000000;230.6200000;50502730
URKA;W;03/06/13;000000;230.6000000;28395760
URKA;W;10/06/13;000000;223.7500000;23441990
URKA;W;17/06/13;000000;222.9700000;28180290
URKA;W;24/06/13;000000;219.7500000;38517500
URKA;W;01/07/13;000000;220.3900000;22148290
URKA;W;08/07/13;000000;217.3000000;24794220
URKA;W;15/07/13;000000;215.3200000;29389350
URKA;W;22/07/13;000000;190.4000000;43471950
URKA;W;29/07/13;000000;158.9100000;157188550
URKA;W;05/08/13;000000;165.3600000;75992620
URKA;W;12/08/13;000000;160.0100000;26015670
URKA;W;19/08/13;000000;163.1800000;21912560
URKA;W;26/08/13;000000;158.5000000;23855850
URKA;W;02/09/13;000000;162.8000000;19471870
URKA;W;09/09/13;000000;177.8000000;75699840
URKA;W;16/09/13;000000;177.6200000;40587130
URKA;W;23/09/13;000000;171.5100000;39495070
URKA;W;30/09/13;000000;169.3500000;19478950
URKA;W;07/10/13;000000;167.9300000;21987070
URKA;W;14/10/13;000000;173.7600000;23252470
URKA;W;21/10/13;000000;173.8500000;29277150
URKA;W;28/10/13;000000;170.9500000;14798680
URKA;W;04/11/13;000000;168.7500000;19548830
URKA;W;11/11/13;000000;175.2800000;20834240
URKA;W;18/11/13;000000;168.7100000;30758140
URKA;W;25/11/13;000000;164.9800000;18045450
URKA;W;02/12/13;000000;167.7800000;25745390
URKA;W;09/12/13;000000;166.3800000;14763020
URKA;W;16/12/13;000000;175.4400000;18735980
URKA;W;23/12/13;000000;172.4900000;11601040
URKA;W;30/12/13;000000;172.0000000;3186720
URKA;W;06/01/14;000000;167.3800000;9398500
URKA;W;13/01/14;000000;183.0000000;45676740
URKA;W;20/01/14;000000;182.6500000;22224290
URKA;W;27/01/14;000000;171.0600000;33422700
URKA;W;03/02/14;000000;178.0800000;16917130
URKA;W;10/02/14;000000;171.7300000;12592790
URKA;W;17/02/14;000000;170.3000000;10854930
URKA;W;24/02/14;000000;164.3000000;12093580
URKA;W;03/03/14;000000;166.0100000;38710910
URKA;W;10/03/14;000000;156.2000000;18027280
URKA;W;17/03/14;000000;161.2100000;29855980
URKA;W;24/03/14;000000;166.0500000;22479630
URKA;W;31/03/14;000000;166.7800000;17003160
