<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.BAC;D;01/02/22;000000;46.2000000;47.0950000;45.9100000;46.9300000;1633819
US1.BAC;D;02/02/22;000000;46.7200000;46.9500000;46.3050000;46.8800000;1443211
US1.BAC;D;03/02/22;000000;47.2800000;47.2800000;46.3550000;46.4300000;1901284
US1.BAC;D;04/02/22;000000;47.0200000;48.6900000;46.6800000;48.2800000;2752944
US1.BAC;D;07/02/22;000000;48.5000000;48.7550000;47.9900000;48.5400000;1794673
US1.BAC;D;08/02/22;000000;49.1700000;50.0150000;48.9450000;49.3750000;2117505
US1.BAC;D;09/02/22;000000;49.2150000;49.7850000;49.0300000;49.2800000;1559928
US1.BAC;D;10/02/22;000000;49.6900000;50.1100000;48.7700000;49.0300000;2589731
US1.BAC;D;11/02/22;000000;48.6300000;49.4300000;47.5100000;47.9100000;3107049
US1.BAC;D;14/02/22;000000;48.0000000;48.1800000;46.9500000;47.4000000;2280086
US1.BAC;D;15/02/22;000000;47.9900000;48.3600000;47.5750000;47.7800000;2150603
US1.BAC;D;16/02/22;000000;47.4400000;48.2300000;47.3200000;47.6900000;1857883
US1.BAC;D;17/02/22;000000;47.0100000;47.2900000;45.9550000;46.0700000;2344021
US1.BAC;D;18/02/22;000000;46.0700000;46.5300000;45.7250000;45.9600000;2212096
US1.BAC;D;22/02/22;000000;45.2300000;45.9750000;45.0500000;45.5700000;2361011
US1.BAC;D;23/02/22;000000;45.8900000;46.1000000;44.5750000;44.7800000;2871591
US1.BAC;D;24/02/22;000000;42.9700000;43.6750000;42.0550000;43.5900000;4655756
US1.BAC;D;25/02/22;000000;43.8200000;45.3500000;43.8000000;45.0200000;3912067
US1.BAC;D;28/02/22;000000;43.7200000;44.2550000;43.4400000;44.2000000;3166095
US1.BAC;D;01/03/22;000000;43.6200000;43.6700000;41.9300000;42.4600000;4245093
US1.BAC;D;02/03/22;000000;42.7200000;43.5200000;42.6200000;43.1700000;3669534
US1.BAC;D;03/03/22;000000;43.0900000;43.4900000;42.2150000;42.4900000;2667277
US1.BAC;D;04/03/22;000000;41.2600000;41.3750000;40.3300000;40.9700000;4135196
US1.BAC;D;07/03/22;000000;40.0400000;40.0900000;38.2150000;38.3300000;6096572
US1.BAC;D;08/03/22;000000;39.1700000;39.6600000;38.1700000;38.5800000;4568803
US1.BAC;D;09/03/22;000000;40.2800000;41.6000000;40.1600000;41.0400000;4659604
US1.BAC;D;10/03/22;000000;40.2900000;41.4700000;40.1200000;40.6600000;2557941
US1.BAC;D;11/03/22;000000;41.0500000;41.3700000;40.3000000;40.3200000;2113166
US1.BAC;D;14/03/22;000000;40.9100000;42.1750000;40.9000000;41.2000000;2696660
US1.BAC;D;15/03/22;000000;41.2700000;41.7800000;40.8800000;41.5100000;2088459
US1.BAC;D;16/03/22;000000;42.2500000;43.0400000;41.9300000;42.8000000;3048547
US1.BAC;D;17/03/22;000000;42.4300000;43.0400000;41.8300000;43.0200000;2284215
US1.BAC;D;18/03/22;000000;42.7100000;42.9250000;42.2700000;42.8900000;2444351
US1.BAC;D;21/03/22;000000;43.3400000;43.4200000;42.5100000;42.8500000;1997082
US1.BAC;D;22/03/22;000000;43.8000000;44.6250000;43.7000000;44.1900000;3122351
US1.BAC;D;23/03/22;000000;43.6900000;44.0100000;43.0350000;43.0800000;1605955
US1.BAC;D;24/03/22;000000;43.3800000;43.4300000;42.8900000;43.0800000;1375896
US1.BAC;D;25/03/22;000000;43.3800000;44.2600000;43.3300000;43.7400000;1961076
US1.BAC;D;28/03/22;000000;43.7000000;43.7300000;42.8400000;43.5400000;1588984
US1.BAC;D;29/03/22;000000;44.2400000;44.3800000;43.1150000;43.4350000;2320425
US1.BAC;D;30/03/22;000000;43.3800000;43.6400000;42.7550000;43.0000000;2028262
US1.BAC;D;31/03/22;000000;42.8000000;42.8800000;41.2100000;41.2100000;2714592
US1.BAC;D;01/04/22;000000;41.6900000;41.7400000;40.3550000;40.9000000;3267340
US1.BAC;D;04/04/22;000000;40.5900000;41.1300000;40.1600000;40.8200000;2581555
US1.BAC;D;05/04/22;000000;40.3000000;40.7500000;40.0450000;40.1500000;2234102
US1.BAC;D;06/04/22;000000;39.8000000;40.0100000;39.3500000;39.7100000;3527801
US1.BAC;D;07/04/22;000000;39.8800000;39.9800000;38.8500000;39.4000000;2897449
US1.BAC;D;08/04/22;000000;39.5500000;40.0950000;39.3200000;39.6800000;2264722
US1.BAC;D;11/04/22;000000;39.5000000;40.3950000;39.4100000;39.6000000;1775694
US1.BAC;D;12/04/22;000000;39.4900000;40.0800000;38.8600000;39.1500000;2093885
US1.BAC;D;13/04/22;000000;38.5000000;39.0100000;38.3700000;38.8600000;2438847
US1.BAC;D;14/04/22;000000;38.4900000;38.9600000;37.4300000;37.5300000;3593157
US1.BAC;D;18/04/22;000000;37.3000000;39.3000000;37.2300000;38.8800000;3837234
US1.BAC;D;19/04/22;000000;39.2100000;39.8750000;39.1600000;39.5700000;2171072
US1.BAC;D;20/04/22;000000;40.1500000;40.3650000;39.6100000;39.6600000;1799898
US1.BAC;D;21/04/22;000000;40.0100000;40.2100000;38.6300000;38.9200000;2283446
US1.BAC;D;22/04/22;000000;38.8300000;38.8500000;37.5000000;37.5400000;2342355
US1.BAC;D;25/04/22;000000;36.8200000;37.3950000;35.9300000;37.2800000;3654353
US1.BAC;D;26/04/22;000000;36.8250000;37.5300000;36.4250000;36.4650000;2909221
US1.BAC;D;27/04/22;000000;36.2500000;36.9050000;36.1750000;36.2300000;2926844
US1.BAC;D;28/04/22;000000;36.7800000;36.9400000;36.1700000;36.8100000;1954163
US1.BAC;D;29/04/22;000000;36.7700000;37.1200000;35.5500000;35.6800000;2507720
US1.BAC;D;02/05/22;000000;36.0200000;36.2700000;35.4000000;36.1300000;3167082
US1.BAC;D;03/05/22;000000;36.4100000;37.6300000;36.3300000;37.1200000;3300240
US1.BAC;D;04/05/22;000000;37.3700000;38.7450000;37.2900000;38.6300000;3392545
US1.BAC;D;05/05/22;000000;38.0400000;38.2100000;36.8800000;37.5600000;3108388
US1.BAC;D;06/05/22;000000;37.3300000;37.6150000;36.6200000;37.4850000;3260676
US1.BAC;D;09/05/22;000000;36.8700000;37.0500000;36.0600000;36.3700000;3122924
US1.BAC;D;10/05/22;000000;36.7600000;37.1200000;35.1850000;35.7500000;3347382
US1.BAC;D;11/05/22;000000;35.8900000;36.9150000;35.5150000;35.5700000;3066813
US1.BAC;D;12/05/22;000000;35.0200000;35.4300000;34.2700000;35.0800000;3617227
US1.BAC;D;13/05/22;000000;35.5300000;35.7200000;34.7600000;35.1650000;2292897
US1.BAC;D;16/05/22;000000;35.0600000;35.1650000;34.4200000;34.8100000;2111201
US1.BAC;D;17/05/22;000000;35.5900000;36.2150000;35.4350000;36.0000000;2090740
US1.BAC;D;18/05/22;000000;35.6200000;35.6850000;34.6050000;34.8700000;2241688
US1.BAC;D;19/05/22;000000;34.2900000;34.8400000;34.2600000;34.4600000;2540857
US1.BAC;D;20/05/22;000000;34.8000000;34.9700000;32.9600000;33.8400000;2866728
US1.BAC;D;23/05/22;000000;34.7400000;36.2600000;34.7400000;35.8700000;3325355
US1.BAC;D;24/05/22;000000;35.4800000;35.9450000;34.9600000;35.6700000;2331890
US1.BAC;D;25/05/22;000000;35.4500000;36.2650000;35.2900000;35.8800000;2291326
US1.BAC;D;26/05/22;000000;36.5300000;36.8350000;36.3500000;36.6700000;2442341
US1.BAC;D;27/05/22;000000;36.8900000;37.0500000;36.5850000;37.0200000;1335596
US1.BAC;D;31/05/22;000000;36.8000000;37.5200000;36.6100000;37.2100000;2081081
US1.BAC;D;01/06/22;000000;37.4000000;37.4600000;36.1750000;36.6700000;1363390
US1.BAC;D;02/06/22;000000;36.4200000;36.7050000;36.0700000;36.7050000;1072468
US1.BAC;D;03/06/22;000000;36.4300000;36.6700000;36.1400000;36.1800000;1019913
US1.BAC;D;06/06/22;000000;36.7000000;37.2050000;36.1500000;36.1500000;1511087
US1.BAC;D;07/06/22;000000;35.8200000;36.4000000;35.7500000;36.3400000;1349628
US1.BAC;D;08/06/22;000000;35.9200000;36.1100000;35.5300000;35.8900000;1356752
US1.BAC;D;09/06/22;000000;35.8000000;35.8400000;34.5000000;34.5000000;2218178
US1.BAC;D;10/06/22;000000;33.6700000;34.0350000;33.0300000;33.1700000;2098018
US1.BAC;D;13/06/22;000000;32.3700000;32.7700000;31.7450000;32.0400000;3177092
US1.BAC;D;14/06/22;000000;31.9600000;32.5900000;31.2300000;31.4700000;2308840
US1.BAC;D;15/06/22;000000;31.9500000;32.4900000;31.4300000;32.0500000;2905338
US1.BAC;D;16/06/22;000000;31.4300000;31.9950000;30.8600000;31.8600000;3619407
US1.BAC;D;17/06/22;000000;31.9300000;32.5800000;31.6400000;31.9100000;3206525
US1.BAC;D;21/06/22;000000;32.9100000;33.2800000;32.6300000;32.8600000;2009027
US1.BAC;D;22/06/22;000000;32.3400000;32.9400000;32.3400000;32.5500000;1202593
US1.BAC;D;23/06/22;000000;32.3800000;32.4000000;31.2650000;32.0900000;1984379
US1.BAC;D;24/06/22;000000;31.3000000;32.7600000;31.2500000;32.3300000;2832150
US1.BAC;D;27/06/22;000000;32.4700000;32.5900000;31.9100000;32.3500000;2596451
US1.BAC;D;28/06/22;000000;32.8500000;33.4900000;32.1850000;32.2500000;2134122
US1.BAC;D;29/06/22;000000;32.2300000;32.4300000;31.6700000;31.8500000;1446657
US1.BAC;D;30/06/22;000000;31.1900000;31.5400000;30.6400000;31.1600000;2114257
US1.BAC;D;01/07/22;000000;30.9700000;31.6650000;30.6400000;31.5600000;1851285
US1.BAC;D;05/07/22;000000;30.8000000;31.2400000;30.4600000;31.2300000;1686871
US1.BAC;D;06/07/22;000000;31.0400000;31.2400000;30.6500000;30.9700000;1461927
US1.BAC;D;07/07/22;000000;31.5000000;32.0100000;31.4700000;31.8700000;1503982
US1.BAC;D;08/07/22;000000;32.0900000;32.2400000;31.5700000;31.7900000;1044070
US1.BAC;D;11/07/22;000000;31.6000000;31.7750000;31.2950000;31.4600000;969699
US1.BAC;D;12/07/22;000000;31.0700000;32.0200000;30.9900000;31.3600000;1589262
US1.BAC;D;13/07/22;000000;31.0700000;31.1300000;30.4100000;30.8300000;1572100
US1.BAC;D;14/07/22;000000;30.0600000;30.2100000;29.6750000;30.1300000;2197683
US1.BAC;D;15/07/22;000000;30.6900000;32.6300000;30.6300000;32.2100000;3338608
US1.BAC;D;18/07/22;000000;33.0800000;33.3750000;32.1100000;32.2400000;2182303
US1.BAC;D;19/07/22;000000;32.8800000;33.6150000;32.6800000;33.3500000;1842538
US1.BAC;D;20/07/22;000000;33.1600000;33.4450000;32.9600000;33.3650000;1148930
US1.BAC;D;21/07/22;000000;33.0800000;33.6600000;32.9550000;33.6600000;959582
US1.BAC;D;22/07/22;000000;33.6400000;33.9400000;33.0950000;33.4200000;1027326
US1.BAC;D;25/07/22;000000;33.7700000;33.9700000;33.4400000;33.7350000;1173040
US1.BAC;D;26/07/22;000000;33.4200000;33.7700000;32.9700000;33.0300000;966932
US1.BAC;D;27/07/22;000000;33.2650000;33.7650000;32.9600000;33.5700000;1098302
US1.BAC;D;28/07/22;000000;33.5000000;33.7400000;32.9000000;33.2900000;1368572
US1.BAC;D;29/07/22;000000;33.4400000;33.9350000;33.3500000;33.8000000;1544355
