<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.KO;30;17/01/23;100000;61.7500000;62.3700000;61.7500000;62.1400000;71455
US1.KO;30;17/01/23;103000;62.1400000;62.2200000;62.0700000;62.1200000;58772
US1.KO;30;17/01/23;110000;62.1300000;62.2100000;61.8950000;62.0250000;49896
US1.KO;30;17/01/23;113000;62.0200000;62.0600000;61.9300000;62.0100000;38959
US1.KO;30;17/01/23;120000;62.0050000;62.0800000;61.9600000;62.0100000;27764
US1.KO;30;17/01/23;123000;62.0000000;62.0550000;61.9400000;61.9550000;28545
US1.KO;30;17/01/23;130000;61.9600000;62.1200000;61.9600000;61.9900000;22159
US1.KO;30;17/01/23;133000;62.0000000;62.0300000;61.8300000;61.8300000;25502
US1.KO;30;17/01/23;140000;61.8300000;61.8700000;61.7900000;61.8000000;28744
US1.KO;30;17/01/23;143000;61.7900000;61.8100000;61.5950000;61.6050000;32814
US1.KO;30;17/01/23;150000;61.6200000;61.8150000;61.6200000;61.7600000;38702
US1.KO;30;17/01/23;153000;61.7600000;61.7950000;61.6950000;61.7100000;33642
US1.KO;30;17/01/23;160000;61.7200000;61.7200000;61.5700000;61.6750000;95739
US1.KO;30;18/01/23;100000;61.5000000;61.5100000;61.1100000;61.2100000;32766
US1.KO;30;18/01/23;103000;61.2200000;61.2300000;60.8750000;60.8750000;28552
US1.KO;30;18/01/23;110000;60.8750000;60.8850000;60.6100000;60.6500000;37445
US1.KO;30;18/01/23;113000;60.6300000;60.6500000;60.4150000;60.5400000;31089
US1.KO;30;18/01/23;120000;60.5300000;60.5300000;60.3150000;60.3350000;36434
US1.KO;30;18/01/23;123000;60.3200000;60.3250000;60.1200000;60.1200000;45175
US1.KO;30;18/01/23;130000;60.1200000;60.1350000;59.9550000;59.9800000;36346
US1.KO;30;18/01/23;133000;59.9950000;60.0200000;59.7550000;59.7950000;44397
US1.KO;30;18/01/23;140000;59.7950000;60.0850000;59.7850000;59.9050000;44126
US1.KO;30;18/01/23;143000;59.9050000;60.0350000;59.9050000;60.0300000;34997
US1.KO;30;18/01/23;150000;60.0350000;60.1200000;59.9950000;60.1050000;24990
US1.KO;30;18/01/23;153000;60.0900000;60.1000000;59.9900000;60.0150000;32378
US1.KO;30;18/01/23;160000;60.0050000;60.0350000;59.6850000;59.8200000;153281
US1.KO;30;19/01/23;100000;59.8500000;60.4300000;59.7300000;60.3200000;75219
US1.KO;30;19/01/23;103000;60.3200000;60.4000000;60.1300000;60.3500000;44445
US1.KO;30;19/01/23;110000;60.3350000;60.6400000;60.2450000;60.5700000;63627
US1.KO;30;19/01/23;113000;60.5450000;60.6350000;60.3300000;60.3300000;32132
US1.KO;30;19/01/23;120000;60.3400000;60.3500000;60.1700000;60.2100000;17787
US1.KO;30;19/01/23;123000;60.2100000;60.2800000;60.1550000;60.1850000;26634
US1.KO;30;19/01/23;130000;60.1900000;60.1900000;60.0700000;60.1400000;15243
US1.KO;30;19/01/23;133000;60.1600000;60.2550000;60.1300000;60.2000000;18975
US1.KO;30;19/01/23;140000;60.2200000;60.2400000;60.1350000;60.1900000;16193
US1.KO;30;19/01/23;143000;60.2000000;60.2100000;60.1050000;60.1500000;20022
US1.KO;30;19/01/23;150000;60.1400000;60.2100000;60.0800000;60.1000000;24269
US1.KO;30;19/01/23;153000;60.1100000;60.1300000;60.0050000;60.0700000;27335
US1.KO;30;19/01/23;160000;60.0700000;60.0900000;59.7200000;59.7300000;90297
US1.KO;30;20/01/23;100000;59.7200000;59.8600000;59.4150000;59.4300000;43449
US1.KO;30;20/01/23;103000;59.4350000;59.7250000;59.4200000;59.6800000;21204
US1.KO;30;20/01/23;110000;59.6800000;59.7800000;59.6200000;59.7050000;24142
US1.KO;30;20/01/23;113000;59.7000000;59.8900000;59.6950000;59.8600000;22187
US1.KO;30;20/01/23;120000;59.8400000;59.9000000;59.7900000;59.8000000;13158
US1.KO;30;20/01/23;123000;59.8150000;59.8200000;59.7250000;59.7300000;11789
US1.KO;30;20/01/23;130000;59.7200000;59.7200000;59.6350000;59.6400000;13040
US1.KO;30;20/01/23;133000;59.6450000;59.7000000;59.5700000;59.6900000;28784
US1.KO;30;20/01/23;140000;59.7000000;59.9200000;59.7000000;59.8350000;18765
US1.KO;30;20/01/23;143000;59.8350000;59.8700000;59.7700000;59.8350000;16313
US1.KO;30;20/01/23;150000;59.8400000;59.9250000;59.8250000;59.8500000;16420
US1.KO;30;20/01/23;153000;59.8750000;60.0700000;59.8750000;59.9300000;19848
US1.KO;30;20/01/23;160000;59.9300000;60.0800000;59.9300000;60.0600000;100398
