<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.KO;60;17/01/23;10:00:00;61.7500000;62.3700000;61.7500000;62.1400000;71455
US1.KO;60;17/01/23;11:00:00;62.1400000;62.2200000;61.8950000;62.0250000;108668
US1.KO;60;17/01/23;12:00:00;62.0200000;62.0800000;61.9300000;62.0100000;66723
US1.KO;60;17/01/23;13:00:00;62.0000000;62.1200000;61.9400000;61.9900000;50704
US1.KO;60;17/01/23;14:00:00;62.0000000;62.0300000;61.7900000;61.8000000;54246
US1.KO;60;17/01/23;15:00:00;61.7900000;61.8150000;61.5950000;61.7600000;71516
US1.KO;60;17/01/23;16:00:00;61.7600000;61.7950000;61.5700000;61.6750000;129381
US1.KO;60;18/01/23;10:00:00;61.5000000;61.5100000;61.1100000;61.2100000;32766
US1.KO;60;18/01/23;11:00:00;61.2200000;61.2300000;60.6100000;60.6500000;65997
US1.KO;60;18/01/23;12:00:00;60.6300000;60.6500000;60.3150000;60.3350000;67523
US1.KO;60;18/01/23;13:00:00;60.3200000;60.3250000;59.9550000;59.9800000;81521
US1.KO;60;18/01/23;14:00:00;59.9950000;60.0850000;59.7550000;59.9050000;88523
US1.KO;60;18/01/23;15:00:00;59.9050000;60.1200000;59.9050000;60.1050000;59987
US1.KO;60;18/01/23;16:00:00;60.0900000;60.1000000;59.6850000;59.8200000;185659
US1.KO;60;19/01/23;10:00:00;59.8500000;60.4300000;59.7300000;60.3200000;75219
US1.KO;60;19/01/23;11:00:00;60.3200000;60.6400000;60.1300000;60.5700000;108072
US1.KO;60;19/01/23;12:00:00;60.5450000;60.6350000;60.1700000;60.2100000;49919
US1.KO;60;19/01/23;13:00:00;60.2100000;60.2800000;60.0700000;60.1400000;41877
US1.KO;60;19/01/23;14:00:00;60.1600000;60.2550000;60.1300000;60.1900000;35168
US1.KO;60;19/01/23;15:00:00;60.2000000;60.2100000;60.0800000;60.1000000;44291
US1.KO;60;19/01/23;16:00:00;60.1100000;60.1300000;59.7200000;59.7300000;117632
US1.KO;60;20/01/23;10:00:00;59.7200000;59.8600000;59.4150000;59.4300000;43449
US1.KO;60;20/01/23;11:00:00;59.4350000;59.7800000;59.4200000;59.7050000;45346
US1.KO;60;20/01/23;12:00:00;59.7000000;59.9000000;59.6950000;59.8000000;35345
US1.KO;60;20/01/23;13:00:00;59.8150000;59.8200000;59.6350000;59.6400000;24829
US1.KO;60;20/01/23;14:00:00;59.6450000;59.9200000;59.5700000;59.8350000;47549
US1.KO;60;20/01/23;15:00:00;59.8350000;59.9250000;59.7700000;59.8500000;32733
US1.KO;60;20/01/23;16:00:00;59.8750000;60.0800000;59.8750000;60.0600000;120246
