<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AKRN;D;02/08/21;000000;6052.0000000;6074.0000000;6004.0000000;6052.0000000;2112
AKRN;D;03/08/21;000000;6042.0000000;6076.0000000;6000.0000000;6008.0000000;2755
AKRN;D;04/08/21;000000;6008.0000000;6046.0000000;5944.0000000;5946.0000000;5652
AKRN;D;05/08/21;000000;5970.0000000;6022.0000000;5970.0000000;5994.0000000;1391
AKRN;D;06/08/21;000000;5994.0000000;6016.0000000;5964.0000000;5980.0000000;918
AKRN;D;09/08/21;000000;5980.0000000;6042.0000000;5974.0000000;5980.0000000;2879
AKRN;D;10/08/21;000000;5972.0000000;6000.0000000;5928.0000000;5972.0000000;2340
AKRN;D;11/08/21;000000;5996.0000000;6000.0000000;5976.0000000;6000.0000000;1025
AKRN;D;12/08/21;000000;6000.0000000;6008.0000000;5920.0000000;5928.0000000;5384
AKRN;D;13/08/21;000000;5926.0000000;5940.0000000;5884.0000000;5900.0000000;3265
AKRN;D;16/08/21;000000;5938.0000000;5938.0000000;5896.0000000;5916.0000000;2605
AKRN;D;17/08/21;000000;5904.0000000;5920.0000000;5886.0000000;5908.0000000;2358
AKRN;D;18/08/21;000000;5900.0000000;5928.0000000;5898.0000000;5924.0000000;2042
AKRN;D;19/08/21;000000;5922.0000000;5956.0000000;5886.0000000;5948.0000000;4388
AKRN;D;20/08/21;000000;5946.0000000;5972.0000000;5934.0000000;5972.0000000;948
AKRN;D;23/08/21;000000;5984.0000000;6104.0000000;5982.0000000;6026.0000000;6751
AKRN;D;24/08/21;000000;6034.0000000;6090.0000000;6016.0000000;6090.0000000;4251
AKRN;D;25/08/21;000000;6092.0000000;6680.0000000;6086.0000000;6508.0000000;25374
AKRN;D;26/08/21;000000;6574.0000000;6634.0000000;6380.0000000;6422.0000000;9319
AKRN;D;27/08/21;000000;6412.0000000;6576.0000000;6330.0000000;6534.0000000;5323
AKRN;D;30/08/21;000000;6570.0000000;6800.0000000;6404.0000000;6466.0000000;8454
AKRN;D;31/08/21;000000;6496.0000000;6610.0000000;6472.0000000;6562.0000000;2894
AKRN;D;01/09/21;000000;6558.0000000;6650.0000000;6512.0000000;6536.0000000;1854
AKRN;D;02/09/21;000000;6528.0000000;6800.0000000;6462.0000000;6688.0000000;3414
AKRN;D;03/09/21;000000;6654.0000000;6800.0000000;6648.0000000;6780.0000000;2047
AKRN;D;06/09/21;000000;6812.0000000;6972.0000000;6644.0000000;6942.0000000;15069
AKRN;D;07/09/21;000000;7000.0000000;7280.0000000;6216.0000000;6460.0000000;40907
AKRN;D;08/09/21;000000;6456.0000000;6778.0000000;6310.0000000;6702.0000000;13200
AKRN;D;09/09/21;000000;6740.0000000;6740.0000000;6524.0000000;6524.0000000;3628
AKRN;D;10/09/21;000000;6500.0000000;6694.0000000;6450.0000000;6658.0000000;4717
AKRN;D;13/09/21;000000;6670.0000000;6848.0000000;6630.0000000;6740.0000000;5038
AKRN;D;14/09/21;000000;7100.0000000;7532.0000000;6672.0000000;6828.0000000;9411
AKRN;D;15/09/21;000000;6848.0000000;6950.0000000;6806.0000000;6806.0000000;3190
AKRN;D;16/09/21;000000;6810.0000000;6880.0000000;6672.0000000;6730.0000000;3626
AKRN;D;17/09/21;000000;6724.0000000;6810.0000000;6652.0000000;6678.0000000;2861
AKRN;D;20/09/21;000000;6620.0000000;6670.0000000;6410.0000000;6410.0000000;5830
AKRN;D;21/09/21;000000;6430.0000000;7198.0000000;6364.0000000;7020.0000000;23500
AKRN;D;22/09/21;000000;7100.0000000;7288.0000000;6828.0000000;7018.0000000;17607
AKRN;D;23/09/21;000000;7054.0000000;7230.0000000;7010.0000000;7132.0000000;12498
AKRN;D;24/09/21;000000;7134.0000000;7218.0000000;7050.0000000;7074.0000000;2735
AKRN;D;27/09/21;000000;7174.0000000;7276.0000000;7064.0000000;7064.0000000;8600
AKRN;D;28/09/21;000000;7166.0000000;7216.0000000;6910.0000000;6970.0000000;9056
AKRN;D;29/09/21;000000;6902.0000000;7146.0000000;6806.0000000;6850.0000000;7306
AKRN;D;30/09/21;000000;6818.0000000;7090.0000000;6624.0000000;7000.0000000;9146
AKRN;D;01/10/21;000000;7020.0000000;7176.0000000;7000.0000000;7168.0000000;5505
