<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;02/08/21;00:00;287.8800000;289.4800000;285.2100000;286.7500000;38297270
GAZP;D;03/08/21;00:00;286.7700000;288.0500000;284.3400000;287.0900000;27065240
GAZP;D;04/08/21;00:00;287.8900000;288.8000000;286.0000000;287.9400000;23599750
GAZP;D;05/08/21;00:00;287.3100000;288.2800000;285.1600000;285.9500000;47254880
GAZP;D;06/08/21;00:00;285.2600000;285.7200000;277.8700000;282.2700000;90600850
GAZP;D;09/08/21;00:00;282.2300000;287.9000000;280.8000000;286.6800000;68779100
GAZP;D;10/08/21;00:00;288.0000000;288.8000000;285.7000000;288.6100000;28839550
GAZP;D;11/08/21;00:00;288.9200000;291.4900000;287.1200000;290.3500000;37928360
GAZP;D;12/08/21;00:00;290.2500000;293.8100000;290.2500000;293.2300000;37564370
GAZP;D;13/08/21;00:00;292.6500000;293.9000000;291.7500000;292.7000000;21802270
GAZP;D;16/08/21;00:00;291.4700000;295.4800000;290.9500000;295.1000000;32273890
GAZP;D;17/08/21;00:00;295.1300000;299.5000000;290.3200000;298.3200000;50482060
GAZP;D;18/08/21;00:00;299.0000000;299.9500000;295.0000000;295.0500000;35531240
GAZP;D;19/08/21;00:00;293.4900000;294.7200000;289.6800000;293.6800000;55911470
GAZP;D;20/08/21;00:00;293.7900000;294.9000000;289.5000000;292.5700000;38594640
GAZP;D;23/08/21;00:00;294.7000000;297.9400000;294.1000000;297.6900000;38038340
GAZP;D;24/08/21;00:00;299.0000000;301.0000000;295.9500000;298.7000000;48940480
GAZP;D;25/08/21;00:00;298.7100000;299.2000000;294.3700000;296.7000000;30906470
GAZP;D;26/08/21;00:00;295.9200000;295.9700000;293.0400000;294.3400000;24990510
GAZP;D;27/08/21;00:00;295.8100000;300.0000000;294.8100000;299.6600000;34063060
GAZP;D;30/08/21;00:00;301.6600000;305.5000000;299.9700000;305.1700000;69849150
GAZP;D;31/08/21;00:00;305.8300000;307.6700000;304.1000000;305.6500000;64318080
GAZP;D;01/09/21;00:00;306.6000000;313.9500000;306.1900000;312.8900000;79410570
GAZP;D;02/09/21;00:00;313.5900000;314.8000000;310.3000000;312.3000000;53349820
GAZP;D;03/09/21;00:00;312.7000000;317.9600000;311.1600000;317.9400000;63637790
GAZP;D;06/09/21;00:00;319.0000000;329.3500000;318.6000000;328.9300000;80141350
GAZP;D;07/09/21;00:00;329.9500000;333.0000000;325.5000000;327.7300000;71864800
GAZP;D;08/09/21;00:00;328.4900000;328.5000000;322.2200000;327.6000000;58765620
GAZP;D;09/09/21;00:00;326.0000000;328.1400000;323.5000000;324.5700000;40361580
GAZP;D;10/09/21;00:00;326.5500000;330.0000000;325.5000000;326.4300000;41425440
GAZP;D;13/09/21;00:00;327.5200000;333.0000000;327.3000000;332.7500000;55356420
GAZP;D;14/09/21;00:00;333.1300000;339.9200000;332.3600000;338.9800000;97138220
GAZP;D;15/09/21;00:00;339.3900000;344.2000000;337.7200000;343.3400000;108811990
GAZP;D;16/09/21;00:00;342.0000000;342.9900000;337.0300000;338.5000000;94713520
GAZP;D;17/09/21;00:00;338.8300000;339.2900000;333.3000000;334.5000000;61454980
GAZP;D;20/09/21;00:00;329.9700000;332.0000000;321.2600000;325.7000000;72882270
GAZP;D;21/09/21;00:00;328.7000000;336.7800000;328.4400000;335.3000000;77355030
GAZP;D;22/09/21;00:00;338.4000000;341.4900000;337.4000000;340.5900000;60974110
GAZP;D;23/09/21;00:00;342.0000000;345.2000000;339.4300000;343.4700000;63445330
GAZP;D;24/09/21;00:00;343.6700000;344.9000000;340.0000000;344.2900000;40071320
GAZP;D;27/09/21;00:00;347.5200000;355.1900000;347.0000000;355.1900000;80950780
GAZP;D;28/09/21;00:00;359.0000000;361.8000000;353.6800000;354.0700000;93838880
GAZP;D;29/09/21;00:00;354.0500000;360.9400000;352.3000000;360.8800000;60144670
GAZP;D;30/09/21;00:00;363.2600000;364.5300000;359.5300000;360.8000000;69876200
GAZP;D;01/10/21;00:00;358.4500000;363.7800000;356.0000000;363.2500000;47529090
