<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;02/08/21;000000;6308.5000000;6380.0000000;6260.0000000;6308.0000000;893284
LKOH;D;03/08/21;000000;6301.5000000;6330.0000000;6205.5000000;6297.0000000;999182
LKOH;D;04/08/21;000000;6310.0000000;6333.5000000;6226.0000000;6235.0000000;754130
LKOH;D;05/08/21;000000;6218.0000000;6312.0000000;6211.5000000;6312.0000000;577956
LKOH;D;06/08/21;000000;6319.5000000;6328.5000000;6227.0000000;6236.0000000;727121
LKOH;D;09/08/21;000000;6198.0000000;6310.0000000;6110.5000000;6290.0000000;787985
LKOH;D;10/08/21;000000;6325.0000000;6427.5000000;6322.0000000;6423.5000000;995809
LKOH;D;11/08/21;000000;6438.0000000;6487.5000000;6400.0000000;6450.0000000;917959
LKOH;D;12/08/21;000000;6450.5000000;6530.0000000;6431.5000000;6504.5000000;620833
LKOH;D;13/08/21;000000;6488.0000000;6512.0000000;6406.0000000;6429.5000000;572534
LKOH;D;16/08/21;000000;6400.0000000;6503.0000000;6369.5000000;6495.5000000;621148
LKOH;D;17/08/21;000000;6476.0000000;6615.0000000;6441.5000000;6567.5000000;1149179
LKOH;D;18/08/21;000000;6607.5000000;6615.0000000;6444.5000000;6445.0000000;757040
LKOH;D;19/08/21;000000;6404.0000000;6424.5000000;6255.0000000;6332.0000000;1232898
LKOH;D;20/08/21;000000;6313.0000000;6348.0000000;6262.5000000;6339.5000000;559803
LKOH;D;23/08/21;000000;6383.0000000;6489.0000000;6371.0000000;6475.5000000;750426
LKOH;D;24/08/21;000000;6500.0000000;6521.5000000;6408.0000000;6488.0000000;633383
LKOH;D;25/08/21;000000;6462.0000000;6483.0000000;6420.5000000;6431.0000000;406112
LKOH;D;26/08/21;000000;6419.0000000;6430.0000000;6308.0000000;6343.5000000;610360
LKOH;D;27/08/21;000000;6373.5000000;6443.0000000;6325.5000000;6429.5000000;769681
LKOH;D;30/08/21;000000;6446.5000000;6471.5000000;6403.5000000;6439.0000000;504200
LKOH;D;31/08/21;000000;6437.0000000;6449.0000000;6221.0000000;6283.5000000;2056787
LKOH;D;01/09/21;000000;6302.0000000;6351.0000000;6264.0000000;6334.0000000;1106615
LKOH;D;02/09/21;000000;6330.0000000;6408.0000000;6278.5000000;6350.5000000;1129608
LKOH;D;03/09/21;000000;6363.5000000;6366.0000000;6301.0000000;6330.0000000;653587
LKOH;D;06/09/21;000000;6327.0000000;6372.0000000;6314.5000000;6325.0000000;561034
LKOH;D;07/09/21;000000;6335.0000000;6338.5000000;6268.5000000;6280.0000000;791670
LKOH;D;08/09/21;000000;6282.0000000;6354.0000000;6246.5000000;6341.5000000;1079275
LKOH;D;09/09/21;000000;6330.0000000;6354.5000000;6261.0000000;6269.5000000;827841
LKOH;D;10/09/21;000000;6299.0000000;6339.0000000;6272.0000000;6300.0000000;747146
LKOH;D;13/09/21;000000;6321.0000000;6423.5000000;6308.0000000;6420.5000000;805842
LKOH;D;14/09/21;000000;6441.5000000;6600.0000000;6428.5000000;6570.0000000;1833094
LKOH;D;15/09/21;000000;6600.0000000;6767.0000000;6583.5000000;6724.5000000;1489881
LKOH;D;16/09/21;000000;6704.0000000;6800.0000000;6565.0000000;6664.0000000;1762500
LKOH;D;17/09/21;000000;6671.5000000;6673.0000000;6565.0000000;6600.5000000;1332859
LKOH;D;20/09/21;000000;6538.0000000;6596.5000000;6494.0000000;6551.0000000;868297
LKOH;D;21/09/21;000000;6579.0000000;6660.0000000;6557.0000000;6605.0000000;917647
LKOH;D;22/09/21;000000;6654.0000000;6721.5000000;6622.0000000;6702.0000000;667239
LKOH;D;23/09/21;000000;6749.0000000;6801.0000000;6707.0000000;6801.0000000;966130
LKOH;D;24/09/21;000000;6800.0000000;6859.5000000;6740.5000000;6825.0000000;824276
LKOH;D;27/09/21;000000;6900.0000000;7003.0000000;6871.0000000;6986.0000000;1410591
LKOH;D;28/09/21;000000;7015.0000000;7141.5000000;6964.0000000;6968.0000000;1472618
LKOH;D;29/09/21;000000;6928.0000000;7030.0000000;6900.5000000;6992.0000000;1053957
LKOH;D;30/09/21;000000;7011.0000000;7039.0000000;6850.5000000;6903.5000000;1427649
LKOH;D;01/10/21;000000;6863.5000000;6990.0000000;6835.0000000;6987.5000000;697983
