<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;D;02/08/21;000000;259.0200000;260.5400000;256.1200000;256.8600000;6414290
NLMK;D;03/08/21;000000;256.4400000;258.9600000;256.0200000;258.0000000;6957650
NLMK;D;04/08/21;000000;258.4600000;259.7400000;257.0400000;257.9400000;7706130
NLMK;D;05/08/21;000000;258.7400000;262.5000000;257.7200000;262.3400000;7393020
NLMK;D;06/08/21;000000;262.3400000;263.3200000;255.1200000;256.0200000;10468010
NLMK;D;09/08/21;000000;255.1000000;256.6800000;250.0000000;253.9200000;19606240
NLMK;D;10/08/21;000000;254.6200000;257.6800000;252.7800000;256.6400000;7847770
NLMK;D;11/08/21;000000;256.6600000;257.5000000;252.7000000;254.4200000;9299290
NLMK;D;12/08/21;000000;254.0800000;254.2600000;251.3600000;252.2000000;7527140
NLMK;D;13/08/21;000000;252.5200000;252.5200000;249.4000000;250.8600000;7884690
NLMK;D;16/08/21;000000;250.0000000;252.9200000;249.6400000;251.2200000;7400730
NLMK;D;17/08/21;000000;250.9000000;252.7600000;250.2000000;250.7400000;8614420
NLMK;D;18/08/21;000000;250.5200000;251.6800000;245.2600000;245.8000000;11574140
NLMK;D;19/08/21;000000;244.9600000;245.0000000;237.0000000;240.5000000;20259180
NLMK;D;20/08/21;000000;240.2000000;241.2600000;237.2200000;238.7800000;8759270
NLMK;D;23/08/21;000000;239.9200000;240.6200000;236.2000000;239.9600000;9533050
NLMK;D;24/08/21;000000;240.2200000;241.6600000;237.5000000;239.4000000;8926390
NLMK;D;25/08/21;000000;239.5400000;246.4200000;238.7200000;244.7000000;12007280
NLMK;D;26/08/21;000000;243.8800000;245.9000000;239.4200000;241.3800000;14981980
NLMK;D;27/08/21;000000;242.0000000;246.7600000;240.6800000;246.7600000;7681740
NLMK;D;30/08/21;000000;246.8200000;251.8800000;246.7600000;250.9600000;8596680
NLMK;D;31/08/21;000000;252.0200000;253.5600000;245.3000000;247.6000000;20497710
NLMK;D;01/09/21;000000;248.0600000;248.9000000;241.4000000;246.4000000;13999640
NLMK;D;02/09/21;000000;245.9000000;247.5000000;242.3400000;245.3400000;13353540
NLMK;D;03/09/21;000000;244.9400000;247.9600000;244.1200000;246.3200000;17404210
NLMK;D;06/09/21;000000;233.8800000;237.9400000;232.1800000;237.3800000;17093370
NLMK;D;07/09/21;000000;238.0400000;238.4800000;234.8000000;236.2000000;6465420
NLMK;D;08/09/21;000000;235.6000000;237.4600000;235.1800000;236.2600000;7449860
NLMK;D;09/09/21;000000;236.0000000;236.4200000;226.2000000;226.4200000;16115460
NLMK;D;10/09/21;000000;227.1000000;232.9200000;225.5000000;231.2400000;13968410
NLMK;D;13/09/21;000000;232.0000000;235.8600000;230.2600000;234.7400000;8460510
NLMK;D;14/09/21;000000;233.9400000;234.3800000;228.5000000;229.5600000;12675190
NLMK;D;15/09/21;000000;229.0000000;233.1200000;224.2000000;230.3000000;14398200
NLMK;D;16/09/21;000000;230.3000000;230.7400000;225.3000000;226.6200000;10334730
NLMK;D;17/09/21;000000;227.1400000;227.2000000;220.2200000;221.1000000;15011440
NLMK;D;20/09/21;000000;219.0000000;222.8600000;211.0200000;212.3600000;18481390
NLMK;D;21/09/21;000000;213.4200000;216.4000000;211.1600000;214.0000000;13257680
NLMK;D;22/09/21;000000;215.2800000;222.0000000;214.5400000;220.8200000;11890410
NLMK;D;23/09/21;000000;222.8600000;224.8400000;217.4000000;224.1200000;20016450
NLMK;D;24/09/21;000000;224.4600000;227.6000000;221.8800000;224.5000000;9954040
NLMK;D;27/09/21;000000;225.4400000;227.2000000;221.8800000;223.1400000;8123840
NLMK;D;28/09/21;000000;223.4800000;223.7600000;216.7000000;218.4000000;9607750
NLMK;D;29/09/21;000000;217.9800000;220.9000000;217.5400000;218.5200000;8264650
NLMK;D;30/09/21;000000;219.8000000;219.9800000;215.1200000;216.6200000;9586540
NLMK;D;01/10/21;000000;216.6000000;216.6000000;211.5000000;212.5000000;9525360
