<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
USD000UTSTOM;60;02/05/23;080000;80.3350000;16963000
USD000UTSTOM;60;02/05/23;090000;80.4275000;7996000
USD000UTSTOM;60;02/05/23;100000;80.3450000;36351000
USD000UTSTOM;60;02/05/23;110000;79.9425000;247051000
USD000UTSTOM;60;02/05/23;120000;79.9950000;238985000
USD000UTSTOM;60;02/05/23;130000;79.7675000;194500000
USD000UTSTOM;60;02/05/23;140000;79.7525000;93123000
USD000UTSTOM;60;02/05/23;150000;79.7625000;99264000
USD000UTSTOM;60;02/05/23;160000;79.8200000;131413000
USD000UTSTOM;60;02/05/23;170000;79.7875000;60885000
USD000UTSTOM;60;02/05/23;180000;79.7675000;91006000
USD000UTSTOM;60;02/05/23;190000;79.6200000;81045000
USD000UTSTOM;60;03/05/23;080000;79.8875000;5436000
USD000UTSTOM;60;03/05/23;090000;79.8700000;4895000
USD000UTSTOM;60;03/05/23;100000;79.7025000;69995000
USD000UTSTOM;60;03/05/23;110000;79.5000000;158786000
USD000UTSTOM;60;03/05/23;120000;79.2450000;304417000
USD000UTSTOM;60;03/05/23;130000;79.2875000;167875000
USD000UTSTOM;60;03/05/23;140000;79.3925000;87144000
USD000UTSTOM;60;03/05/23;150000;79.2750000;119896000
USD000UTSTOM;60;03/05/23;160000;79.2700000;143272000
USD000UTSTOM;60;03/05/23;170000;79.2875000;93779000
USD000UTSTOM;60;03/05/23;180000;79.2250000;80358000
USD000UTSTOM;60;03/05/23;190000;79.2050000;43941000
USD000UTSTOM;60;04/05/23;080000;79.3800000;6247000
USD000UTSTOM;60;04/05/23;090000;79.3000000;8930000
USD000UTSTOM;60;04/05/23;100000;79.1825000;42542000
USD000UTSTOM;60;04/05/23;110000;79.0150000;202400000
USD000UTSTOM;60;04/05/23;120000;78.6500000;249380000
USD000UTSTOM;60;04/05/23;130000;78.2950000;223378000
USD000UTSTOM;60;04/05/23;140000;78.2925000;169762000
USD000UTSTOM;60;04/05/23;150000;78.2300000;138141000
USD000UTSTOM;60;04/05/23;160000;77.9725000;150083000
USD000UTSTOM;60;04/05/23;170000;77.8875000;200988000
USD000UTSTOM;60;04/05/23;180000;78.0000000;112211000
USD000UTSTOM;60;04/05/23;190000;78.0500000;46524000
USD000UTSTOM;60;05/05/23;080000;78.0075000;10623000
USD000UTSTOM;60;05/05/23;090000;77.9975000;21650000
USD000UTSTOM;60;05/05/23;100000;77.1450000;97594000
USD000UTSTOM;60;05/05/23;110000;76.6750000;400609000
USD000UTSTOM;60;05/05/23;120000;76.4200000;328370000
USD000UTSTOM;60;05/05/23;130000;76.8700000;332981000
USD000UTSTOM;60;05/05/23;140000;77.0200000;234352000
USD000UTSTOM;60;05/05/23;150000;77.1975000;185899000
USD000UTSTOM;60;05/05/23;160000;77.0125000;121300000
USD000UTSTOM;60;05/05/23;170000;77.2775000;95740000
USD000UTSTOM;60;05/05/23;180000;77.3875000;54278000
USD000UTSTOM;60;05/05/23;190000;77.3800000;33883000
USD000UTSTOM;60;08/05/23;080000;77.3200000;6633000
USD000UTSTOM;60;08/05/23;090000;77.6400000;4905000
USD000UTSTOM;60;08/05/23;100000;77.0225000;22037000
USD000UTSTOM;60;08/05/23;110000;77.6650000;30447000
USD000UTSTOM;60;08/05/23;120000;77.7050000;19452000
USD000UTSTOM;60;08/05/23;130000;77.5725000;20709000
USD000UTSTOM;60;08/05/23;140000;77.5650000;8897000
USD000UTSTOM;60;08/05/23;150000;77.9525000;12301000
USD000UTSTOM;60;08/05/23;160000;78.0325000;6051000
USD000UTSTOM;60;08/05/23;170000;78.2975000;8996000
USD000UTSTOM;60;08/05/23;180000;78.2725000;7690000
USD000UTSTOM;60;08/05/23;190000;78.1875000;11987000
USD000UTSTOM;60;10/05/23;080000;78.0250000;15991000
USD000UTSTOM;60;10/05/23;090000;78.1850000;24280000
USD000UTSTOM;60;10/05/23;100000;77.7975000;68872000
USD000UTSTOM;60;10/05/23;110000;77.1375000;251024000
USD000UTSTOM;60;10/05/23;120000;76.8825000;261716000
USD000UTSTOM;60;10/05/23;130000;76.3525000;224126000
USD000UTSTOM;60;10/05/23;140000;76.1000000;181808000
USD000UTSTOM;60;10/05/23;150000;76.1200000;161461000
USD000UTSTOM;60;10/05/23;160000;75.9600000;125987000
USD000UTSTOM;60;10/05/23;170000;76.2000000;127119000
USD000UTSTOM;60;10/05/23;180000;76.3975000;82253000
USD000UTSTOM;60;10/05/23;190000;76.0575000;131038000
