DATE;SBER;VTB;USD
08.01.2024;276.76;0.024855;91.453
07.01.2024;273.62;0.024;91.1236
06.01.2024;273.62;0.024;93.0656
05.01.2024;273.62;0.024;93.4587
04.01.2024;274.12;0.02311;93.1617
03.01.2024;274.56;0.023025;92.105
02.01.2024;270.82;0.02268;91.8752
01.01.2024;270.82;0.02268;92.1746
31.12.2023;270.82;0.02268;92.3139
30.12.2023;270.82;0.02268;93.1861
29.12.2023;270.82;0.02268;93.413
28.12.2023;271.74;0.022695;93.201
27.12.2023;271.08;0.022875;93.0022
26.12.2023;271.9;0.02316;93.923
25.12.2023;271.08;0.023195;94.0758
24.12.2023;271.3;0.022975;94.1502
23.12.2023;271.3;0.022975;93.5078
22.12.2023;271.3;0.022975;93.2899
21.12.2023;265.19;0.022935;93.2808
20.12.2023;266.61;0.023305;93.2905
19.12.2023;267.35;0.02355;92.8962
18.12.2023;268.4;0.02346;92.4289
17.12.2023;268.21;0.023485;92.55
16.12.2023;268.21;0.023485;92.55
15.12.2023;268.21;0.023485;92.2523
14.12.2023;256.64;0.0226;92.2952
13.12.2023;260.45;0.022785;92.4677
12.12.2023;257.6;0.02235;92.262
11.12.2023;256.89;0.022045;91.45
10.12.2023;265.16;0.02233;92.5888
09.12.2023;265.16;0.02233;92.5616
08.12.2023;265.16;0.02233;92.4508
07.12.2023;265.12;0.02246;92.466
06.12.2023;267.58;0.02207;92.9019
05.12.2023;279.62;0.022885;92.101
04.12.2023;270.96;0.022545;92.1295
03.12.2023;273.97;0.02361;91.8695
02.12.2023;273.97;0.02361;92.2391
01.12.2023;273.97;0.02361;92.4887
30.11.2023;277.5;0.023885;91.7095
29.11.2023;276.8;0.0239;92.501
28.11.2023;279.91;0.02413;92.501
27.11.2023;282.33;0.0243;91.338
26.11.2023;286.85;0.024845;91.3358
25.11.2023;286.85;0.024845;91.7511
24.11.2023;286.85;0.024845;90.675
23.11.2023;286.19;0.02491;90.84
22.11.2023;286.16;0.0252;90.84
21.11.2023;282.79;0.02448;90.6377
20.11.2023;282.91;0.024415;90.727
19.11.2023;281.6;0.024385;90.9863
18.11.2023;281.6;0.024385;91.471
17.11.2023;281.6;0.024385;91.677
16.11.2023;279.7;0.02415;91.677
15.11.2023;282.89;0.024435;91.2587
14.11.2023;280.87;0.024105;91.5471
13.11.2023;283.97;0.024775;92.0235
12.11.2023;280.19;0.024905;92.346
11.11.2023;280.19;0.024905;94.726
10.11.2023;280.19;0.024905;94.726
09.11.2023;276.65;0.025005;93.043
08.11.2023;278.15;0.025215;92.2952
07.11.2023;273.31;0.02517;92.3449
06.11.2023;273.42;0.025365;92.3349
05.11.2023;268.54;0.0249;91.992
04.11.2023;268.54;0.0249;92.387
03.11.2023;268.54;0.0249;91.6443
02.11.2023;269.06;0.025055;91.4948
01.11.2023;269.68;0.0252;91.2209
31.10.2023;268.35;0.025315;91.351
30.10.2023;269.89;0.02516;91.0008
29.10.2023;269.7;0.02533;91.1689
28.10.2023;269.7;0.02533;91.5993
27.10.2023;269.7;0.02533;90.6761
26.10.2023;269.9;0.02555;90.5515
25.10.2023;273.73;0.026395;90.625
24.10.2023;271.27;0.026615;90.976
23.10.2023;270.1;0.02611;90.4669
22.10.2023;269.8;0.025995;89.9626
21.10.2023;269.8;0.025995;89.6309
20.10.2023;269.8;0.025995;89.2778
19.10.2023;268.65;0.02617;89.7408
18.10.2023;267.9;0.02612;89.0221
17.10.2023;270.0;0.026195;88.7529
16.10.2023;268.15;0.02598;88.6173
15.10.2023;263.51;0.02538;87.9932
14.10.2023;263.51;0.02538;88.05
13.10.2023;263.51;0.02538;88.05
12.10.2023;264.5;0.025175;89.414
11.10.2023;260.21;0.024845;88.976
10.10.2023;263.0;0.02534;88.086
09.10.2023;265.25;0.02547;87.7218
08.10.2023;262.93;0.02515;87.938
07.10.2023;262.93;0.02515;87.938
06.10.2023;262.93;0.02515;88.4907
05.10.2023;259.38;0.024795;89.3473
04.10.2023;259.53;0.02489;89.5632
03.10.2023;259.65;0.02519;90.8969
02.10.2023;258.98;0.02531;90.919
01.10.2023;260.72;0.0257;91.3444
30.09.2023;260.72;0.0257;91.9928
29.09.2023;260.72;0.0257;90.4273
28.09.2023;257.67;0.025805;89.351
27.09.2023;256.1;0.025615;89.351
26.09.2023;255.87;0.0255;89.351
25.09.2023;252.65;0.02512;88.473
24.09.2023;251.99;0.025125;91.6478
23.09.2023;251.99;0.025125;91.62
22.09.2023;251.99;0.025125;91.965
21.09.2023;250.16;0.0246;92.1147
20.09.2023;253.77;0.02554;92.8924
19.09.2023;252.72;0.02567;91.0968
18.09.2023;259.07;0.02687;90.4653
17.09.2023;260.83;0.027085;90.5204
16.09.2023;260.83;0.027085;90.425
15.09.2023;260.83;0.027085;90.625
14.09.2023;260.0;0.026605;89.451
13.09.2023;258.18;0.02667;89.3061
12.09.2023;262.4;0.027355;90.2932
11.09.2023;256.25;0.026665;91.1138
10.09.2023;255.68;0.02719;91.826
09.09.2023;255.68;0.02719;91.826
08.09.2023;255.68;0.02719;92.376
07.09.2023;258.79;0.027545;92.9162
06.09.2023;263.5;0.028515;92.5939
05.09.2023;264.75;0.028995;91.5165
04.09.2023;267.39;0.029295;90.55
03.09.2023;265.0;0.02879;90.55
02.09.2023;265.0;0.02879;90.076
01.09.2023;265.0;0.02879;88.6797
31.08.2023;264.85;0.028825;89.101
30.08.2023;264.7;0.0281;89.0698
29.08.2023;265.68;0.02824;89.476
28.08.2023;266.93;0.028435;89.2945
27.08.2023;260.5;0.027855;88.2839
26.08.2023;260.5;0.027855;88.3816
25.08.2023;260.5;0.027855;88.1933
24.08.2023;259.63;0.027625;88.53
23.08.2023;256.4;0.02702;88.89
22.08.2023;261.45;0.027735;89.927
21.08.2023;261.15;0.02787;89.326
20.08.2023;261.14;0.02796;89.4076
19.08.2023;261.14;0.02796;90.5
18.08.2023;261.14;0.02796;91.9044
17.08.2023;258.5;0.027845;92.251
16.08.2023;256.02;0.026775;92.251
15.08.2023;260.42;0.027195;91.679
14.08.2023;260.45;0.02746;91.822
13.08.2023;266.23;0.0283;92.1005
12.08.2023;266.23;0.0283;92.6088
11.08.2023;266.23;0.0283;91.704
10.08.2023;266.91;0.02855;92.8202
09.08.2023;263.91;0.026545;94.001
08.08.2023;264.62;0.02666;92.55
07.08.2023;261.92;0.026075;93.3179
06.08.2023;264.12;0.026525;92.525
05.08.2023;264.12;0.026525;94.425
04.08.2023;264.12;0.026525;94.175
03.08.2023;269.11;0.02707;93.626
02.08.2023;268.57;0.0256;93.351
01.08.2023;268.5;0.02563;93.451
31.07.2023;267.4;0.025815;94.4922
30.07.2023;249.25;0.02508;95.675
29.07.2023;249.25;0.02508;95.4391
28.07.2023;249.25;0.02508;96.8436
27.07.2023;247.95;0.0251;97.451
26.07.2023;247.05;0.02349;98.001
25.07.2023;247.2;0.02331;97.3483
24.07.2023;244.87;0.023225;97.525
23.07.2023;244.13;0.023035;97.7051
22.07.2023;244.13;0.023035;97.7232
21.07.2023;244.13;0.023035;99.48
20.07.2023;242.7;0.02276;95.5468
19.07.2023;245.85;0.02335;98.25
18.07.2023;246.77;0.02354;99.98
17.07.2023;245.39;0.02323;100.992
16.07.2023;246.45;0.023275;100.132
15.07.2023;246.45;0.023275;100.332
14.07.2023;246.45;0.023275;100.0985
13.07.2023;246.19;0.023075;99.2399
12.07.2023;247.52;0.0232;96.476
11.07.2023;247.99;0.02336;96.4802
10.07.2023;249.4;0.02301;96.6536
09.07.2023;243.67;0.022485;97.0718
08.07.2023;243.67;0.022485;96.576
07.07.2023;243.67;0.022485;95.8432
06.07.2023;240.96;0.022415;94.63
05.07.2023;240.95;0.02244;95.28
04.07.2023;240.7;0.02243;95.08
03.07.2023;243.33;0.02209;96.0181
02.07.2023;239.61;0.021685;97.4954
01.07.2023;239.61;0.021685;95.9449
30.06.2023;239.61;0.021685;96.726
29.06.2023;239.99;0.021805;95.78
28.06.2023;239.67;0.021675;96.2692
27.06.2023;241.21;0.02181;95.213
26.06.2023;238.4;0.02188;95.9489
25.06.2023;235.67;0.022;94.33
24.06.2023;235.67;0.022;97.902
23.06.2023;235.67;0.022;96.75
22.06.2023;240.66;0.02233;98.4928
21.06.2023;242.2;0.022775;98.3957
20.06.2023;241.74;0.022695;96.74
19.06.2023;242.28;0.022885;96.851
18.06.2023;243.87;0.022975;95.385
17.06.2023;243.87;0.022975;96.4187
16.06.2023;243.87;0.022975;95.869
15.06.2023;245.18;0.02305;96.126
14.06.2023;244.6;0.02305;95.4236
13.06.2023;244.33;0.02302;92.98
12.06.2023;240.4;0.022785;94.976
11.06.2023;240.4;0.022785;93.98
10.06.2023;240.4;0.022785;94.726
09.06.2023;240.4;0.022785;92.98
08.06.2023;241.77;0.02275;93.23
07.06.2023;241.25;0.02296;93.4375
06.06.2023;240.91;0.022335;92.98
05.06.2023;237.12;0.021905;92.98
04.06.2023;243.95;0.02263;93.895
03.06.2023;243.95;0.02263;96.33
02.06.2023;243.95;0.02263;97.98
01.06.2023;241.66;0.021425;95.98
31.05.2023;246.17;0.0222;98.527
30.05.2023;244.65;0.022485;98.527
