<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
AFLT;W;05/09/11;000000;59.0000000;7073300
AFLT;W;12/09/11;000000;57.5000000;5408100
AFLT;W;19/09/11;000000;48.9200000;4985300
AFLT;W;26/09/11;000000;52.2500000;16927800
AFLT;W;03/10/11;000000;50.7700000;8350100
AFLT;W;10/10/11;000000;52.7300000;6475300
AFLT;W;17/10/11;000000;51.1200000;5136000
AFLT;W;24/10/11;000000;57.1900000;16898700
AFLT;W;31/10/11;000000;52.2700000;11185400
AFLT;W;07/11/11;000000;51.6200000;6347200
AFLT;W;14/11/11;000000;50.7400000;5839000
AFLT;W;21/11/11;000000;49.7500000;14409600
AFLT;W;28/11/11;000000;50.5800000;8377500
AFLT;W;05/12/11;000000;47.1400000;6321300
AFLT;W;12/12/11;000000;44.9500000;4645800
AFLT;W;19/12/11;000000;44.0000000;4904500
AFLT;W;26/12/11;000000;50.2200000;15263100
AFLT;W;02/01/12;000000;50.5100000;3738500
AFLT;W;09/01/12;000000;50.1900000;3123000
AFLT;W;16/01/12;000000;50.1500000;2472100
AFLT;W;23/01/12;000000;50.1000000;3888800
AFLT;W;30/01/12;000000;51.1500000;17465100
AFLT;W;06/02/12;000000;50.4500000;11845800
AFLT;W;13/02/12;000000;55.4500000;23820900
AFLT;W;20/02/12;000000;52.6800000;16346300
AFLT;W;27/02/12;000000;50.3000000;17853800
AFLT;W;05/03/12;000000;50.2300000;3545300
AFLT;W;12/03/12;000000;49.5000000;7521400
AFLT;W;19/03/12;000000;47.9600000;12281800
AFLT;W;26/03/12;000000;47.5800000;12822400
AFLT;W;02/04/12;000000;46.5200000;3255200
AFLT;W;09/04/12;000000;49.5000000;8101600
AFLT;W;16/04/12;000000;48.6000000;5964700
AFLT;W;23/04/12;000000;48.8000000;7731100
AFLT;W;30/04/12;000000;47.0100000;2736300
AFLT;W;07/05/12;000000;45.2000000;4318500
AFLT;W;14/05/12;000000;39.9300000;6819400
AFLT;W;21/05/12;000000;40.9000000;3906000
AFLT;W;28/05/12;000000;41.9500000;11711300
