<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ROSN;W;05/09/11;000000;221.6300000;64199320
ROSN;W;12/09/11;000000;212.8000000;88254770
ROSN;W;19/09/11;000000;184.0000000;96045920
ROSN;W;26/09/11;000000;190.2800000;81208670
ROSN;W;03/10/11;000000;192.5000000;89402760
ROSN;W;10/10/11;000000;199.8400000;87991450
ROSN;W;17/10/11;000000;200.4800000;78323900
ROSN;W;24/10/11;000000;225.0000000;90349940
ROSN;W;31/10/11;000000;218.8700000;53640120
ROSN;W;07/11/11;000000;218.5100000;74723480
ROSN;W;14/11/11;000000;215.4800000;66260520
ROSN;W;21/11/11;000000;206.7500000;54525990
ROSN;W;28/11/11;000000;222.8000000;63053930
ROSN;W;05/12/11;000000;208.3400000;62996380
ROSN;W;12/12/11;000000;204.5500000;75224760
ROSN;W;19/12/11;000000;210.2000000;42007270
ROSN;W;26/12/11;000000;213.8000000;21274270
ROSN;W;02/01/12;000000;221.1900000;19986760
ROSN;W;09/01/12;000000;226.0000000;39926680
ROSN;W;16/01/12;000000;230.3100000;45568060
ROSN;W;23/01/12;000000;227.1900000;46821620
ROSN;W;30/01/12;000000;233.9100000;44756900
ROSN;W;06/02/12;000000;211.6100000;118610830
ROSN;W;13/02/12;000000;218.3900000;65888050
ROSN;W;20/02/12;000000;225.6900000;52341520
ROSN;W;27/02/12;000000;224.9800000;81466320
ROSN;W;05/03/12;000000;224.3000000;42433270
ROSN;W;12/03/12;000000;219.3100000;68242850
ROSN;W;19/03/12;000000;210.5500000;52198950
ROSN;W;26/03/12;000000;210.1900000;52432610
ROSN;W;02/04/12;000000;207.8000000;35936060
ROSN;W;09/04/12;000000;210.6000000;39211280
ROSN;W;16/04/12;000000;216.5100000;61518500
ROSN;W;23/04/12;000000;210.2800000;33186260
ROSN;W;30/04/12;000000;197.7500000;31429200
ROSN;W;07/05/12;000000;203.3900000;52056960
ROSN;W;14/05/12;000000;197.2000000;67522370
ROSN;W;21/05/12;000000;192.4000000;71918820
ROSN;W;28/05/12;000000;206.4500000;64867120
ROSN;W;04/06/12;000000;198.7100000;67933730
ROSN;W;11/06/12;000000;200.7800000;33684720
ROSN;W;18/06/12;000000;204.4800000;76031470
ROSN;W;25/06/12;000000;204.3200000;41876030
ROSN;W;02/07/12;000000;207.3000000;34952740
ROSN;W;09/07/12;000000;205.7300000;29315110
ROSN;W;16/07/12;000000;205.1500000;24277050
ROSN;W;23/07/12;000000;197.6400000;48520380
ROSN;W;30/07/12;000000;193.6900000;42698750
ROSN;W;06/08/12;000000;200.3300000;35631760
ROSN;W;13/08/12;000000;200.9800000;30035610
ROSN;W;20/08/12;000000;200.1900000;32305210
ROSN;W;27/08/12;000000;192.8000000;32768410
ROSN;W;03/09/12;000000;200.6700000;27447570
ROSN;W;10/09/12;000000;212.1800000;40364390
ROSN;W;17/09/12;000000;211.9000000;52890760
ROSN;W;24/09/12;000000;210.9200000;33886460
ROSN;W;01/10/12;000000;212.0600000;33217440
ROSN;W;08/10/12;000000;208.3900000;24160780
ROSN;W;15/10/12;000000;214.0700000;45831110
ROSN;W;22/10/12;000000;231.3200000;145242680
ROSN;W;29/10/12;000000;249.2900000;92367520
ROSN;W;05/11/12;000000;241.0500000;43535240
ROSN;W;12/11/12;000000;248.2000000;42086700
ROSN;W;19/11/12;000000;241.3000000;36827060
ROSN;W;26/11/12;000000;243.8800000;39127540
ROSN;W;03/12/12;000000;250.9800000;28669270
ROSN;W;10/12/12;000000;258.8800000;33359570
ROSN;W;17/12/12;000000;262.3100000;28497540
ROSN;W;24/12/12;000000;270.0100000;21565880
ROSN;W;07/01/13;000000;265.2800000;20405270
ROSN;W;14/01/13;000000;262.4400000;24914920
ROSN;W;21/01/13;000000;272.6200000;30838440
ROSN;W;28/01/13;000000;262.0100000;36541950
ROSN;W;04/02/13;000000;255.6100000;29534800
ROSN;W;11/02/13;000000;255.0700000;34712630
ROSN;W;18/02/13;000000;252.0600000;24329660
ROSN;W;25/02/13;000000;241.8800000;20257480
ROSN;W;04/03/13;000000;248.3100000;16985070
ROSN;W;11/03/13;000000;242.5400000;21131390
ROSN;W;18/03/13;000000;237.5900000;29823740
ROSN;W;25/03/13;000000;238.6600000;29334590
ROSN;W;01/04/13;000000;230.8700000;28895580
ROSN;W;08/04/13;000000;223.4100000;27870260
ROSN;W;15/04/13;000000;214.9900000;28193510
ROSN;W;22/04/13;000000;214.8000000;40549900
ROSN;W;29/04/13;000000;219.8900000;17188160
ROSN;W;06/05/13;000000;222.8200000;27539780
ROSN;W;13/05/13;000000;219.5200000;28706890
ROSN;W;20/05/13;000000;212.5900000;32562160
ROSN;W;27/05/13;000000;211.5000000;36261630
ROSN;W;03/06/13;000000;215.2200000;30135410
ROSN;W;10/06/13;000000;210.8700000;25598190
ROSN;W;17/06/13;000000;222.7500000;52789030
ROSN;W;24/06/13;000000;227.8000000;54924380
ROSN;W;01/07/13;000000;228.9600000;18290870
ROSN;W;08/07/13;000000;247.0900000;26190770
ROSN;W;15/07/13;000000;243.4500000;25400520
ROSN;W;22/07/13;000000;240.8700000;12896400
ROSN;W;29/07/13;000000;237.6000000;19425730
ROSN;W;05/08/13;000000;233.2500000;16708640
ROSN;W;12/08/13;000000;230.7600000;18379390
ROSN;W;19/08/13;000000;234.9900000;35435000
ROSN;W;26/08/13;000000;246.3300000;41514390
ROSN;W;02/09/13;000000;263.9800000;39540460
ROSN;W;09/09/13;000000;258.1200000;46640750
ROSN;W;16/09/13;000000;262.8000000;40344450
ROSN;W;23/09/13;000000;265.3000000;35476470
ROSN;W;30/09/13;000000;262.1900000;29310320
ROSN;W;07/10/13;000000;265.0900000;33203430
ROSN;W;14/10/13;000000;260.9600000;35604120
ROSN;W;21/10/13;000000;252.2000000;40123710
ROSN;W;28/10/13;000000;251.9800000;44790590
ROSN;W;04/11/13;000000;245.9200000;31233410
ROSN;W;11/11/13;000000;244.2000000;28924620
ROSN;W;18/11/13;000000;246.6600000;31970080
ROSN;W;25/11/13;000000;238.4900000;40135350
ROSN;W;02/12/13;000000;235.1600000;35380210
ROSN;W;09/12/13;000000;232.2800000;28914600
ROSN;W;16/12/13;000000;243.5800000;65468250
ROSN;W;23/12/13;000000;247.9400000;18337480
ROSN;W;30/12/13;000000;251.6000000;6589060
ROSN;W;06/01/14;000000;242.4300000;16999340
ROSN;W;13/01/14;000000;248.7700000;43125210
ROSN;W;20/01/14;000000;247.9100000;33820340
ROSN;W;27/01/14;000000;245.0000000;28672860
ROSN;W;03/02/14;000000;246.1000000;26616840
ROSN;W;10/02/14;000000;247.1900000;19369500
ROSN;W;17/02/14;000000;250.0000000;32025770
ROSN;W;24/02/14;000000;243.9500000;23199520
ROSN;W;03/03/14;000000;236.3800000;47187650
ROSN;W;10/03/14;000000;225.8100000;31452670
ROSN;W;17/03/14;000000;231.2100000;45941540
ROSN;W;24/03/14;000000;231.4000000;29995320
ROSN;W;31/03/14;000000;232.4900000;22307380
ROSN;W;07/04/14;000000;232.5200000;27800560
ROSN;W;14/04/14;000000;231.7700000;25789840
ROSN;W;21/04/14;000000;223.6200000;19583390
ROSN;W;28/04/14;000000;222.8000000;25038140
ROSN;W;05/05/14;000000;226.6700000;25160290
ROSN;W;12/05/14;000000;227.2400000;26511560
ROSN;W;19/05/14;000000;232.9000000;34854860
ROSN;W;26/05/14;000000;226.0000000;19899860
ROSN;W;02/06/14;000000;237.0000000;23688480
ROSN;W;09/06/14;000000;249.6600000;24371640
ROSN;W;16/06/14;000000;250.1100000;50468140
ROSN;W;23/06/14;000000;249.4900000;28004290
ROSN;W;30/06/14;000000;253.9000000;22664240
ROSN;W;07/07/14;000000;246.0100000;29275830
ROSN;W;14/07/14;000000;231.7500000;31253420
ROSN;W;21/07/14;000000;220.8400000;32943580
ROSN;W;28/07/14;000000;221.7900000;36413330
ROSN;W;04/08/14;000000;219.5400000;24655150
ROSN;W;11/08/14;000000;225.0000000;22903730
ROSN;W;18/08/14;000000;230.0300000;24022670
ROSN;W;25/08/14;000000;226.0000000;16084880
ROSN;W;01/09/14;000000;238.0000000;25064920
ROSN;W;08/09/14;000000;233.2000000;17278900
ROSN;W;15/09/14;000000;233.5000000;25331340
ROSN;W;22/09/14;000000;232.3900000;17133730
ROSN;W;29/09/14;000000;227.7300000;18185390
ROSN;W;06/10/14;000000;222.3000000;19601190
ROSN;W;13/10/14;000000;228.6900000;18890190
ROSN;W;20/10/14;000000;225.8800000;16205620
ROSN;W;27/10/14;000000;239.9000000;22005350
ROSN;W;03/11/14;000000;239.0200000;20310280
ROSN;W;10/11/14;000000;233.7900000;21459820
ROSN;W;17/11/14;000000;240.4000000;22214710
ROSN;W;24/11/14;000000;233.7400000;18956290
ROSN;W;01/12/14;000000;221.9500000;36801730
ROSN;W;08/12/14;000000;210.7500000;33789380
ROSN;W;15/12/14;000000;194.1500000;52881090
ROSN;W;22/12/14;000000;196.7500000;21174490
ROSN;W;29/12/14;000000;195.8000000;8710400
ROSN;W;05/01/15;000000;206.6000000;16721300
ROSN;W;12/01/15;000000;226.0000000;24334960
ROSN;W;19/01/15;000000;243.9000000;40099760
ROSN;W;26/01/15;000000;229.3500000;28360470
ROSN;W;02/02/15;000000;261.0000000;50744370
ROSN;W;09/02/15;000000;290.2000000;45064720
ROSN;W;16/02/15;000000;274.0000000;33405760
ROSN;W;23/02/15;000000;265.8500000;16954640
ROSN;W;02/03/15;000000;263.5000000;27227440
ROSN;W;09/03/15;000000;241.3000000;17614400
ROSN;W;16/03/15;000000;239.3000000;26023680
ROSN;W;23/03/15;000000;237.2500000;25450390
ROSN;W;30/03/15;000000;263.7000000;23356150
ROSN;W;06/04/15;000000;256.9500000;23050830
ROSN;W;13/04/15;000000;256.0000000;23414300
ROSN;W;20/04/15;000000;258.2000000;23902340
ROSN;W;27/04/15;000000;256.5000000;11066050
ROSN;W;04/05/15;000000;259.4500000;15033410
ROSN;W;11/05/15;000000;257.4500000;10929230
ROSN;W;18/05/15;000000;249.9000000;13090560
ROSN;W;25/05/15;000000;234.0000000;16052070
ROSN;W;01/06/15;000000;236.7500000;17289920
ROSN;W;08/06/15;000000;245.2000000;16374780
ROSN;W;15/06/15;000000;250.0000000;19434600
ROSN;W;22/06/15;000000;229.9000000;27253870
ROSN;W;29/06/15;000000;228.4000000;13086400
ROSN;W;06/07/15;000000;227.0000000;25077880
ROSN;W;13/07/15;000000;232.0000000;20672340
ROSN;W;20/07/15;000000;220.6000000;20055390
ROSN;W;27/07/15;000000;236.7000000;25788210
ROSN;W;03/08/15;000000;235.5500000;17599430
ROSN;W;10/08/15;000000;246.6000000;21037870
ROSN;W;17/08/15;000000;235.2500000;17273910
ROSN;W;24/08/15;000000;246.3500000;33309320
ROSN;W;31/08/15;000000;244.3500000;28783020
ROSN;W;07/09/15;000000;245.9000000;17733030
ROSN;W;14/09/15;000000;256.0000000;23035540
ROSN;W;21/09/15;000000;238.4000000;29950350
ROSN;W;28/09/15;000000;234.6000000;20461860
ROSN;W;05/10/15;000000;267.0000000;27898440
ROSN;W;12/10/15;000000;253.4000000;25550220
ROSN;W;19/10/15;000000;253.5000000;20877090
ROSN;W;26/10/15;000000;258.1000000;21526440
ROSN;W;02/11/15;000000;264.7500000;17717980
ROSN;W;09/11/15;000000;260.7000000;20744250
ROSN;W;16/11/15;000000;272.9000000;26423880
ROSN;W;23/11/15;000000;268.2000000;25091250
ROSN;W;30/11/15;000000;251.4500000;26295650
ROSN;W;07/12/15;000000;244.8500000;21667680
ROSN;W;14/12/15;000000;250.7500000;29147430
ROSN;W;21/12/15;000000;245.8000000;16827080
ROSN;W;28/12/15;000000;253.2500000;10590200
