<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;W;05/09/11;000000;83.2000000;1388996930
SBER;W;12/09/11;000000;81.4900000;1486053340
SBER;W;19/09/11;000000;69.9900000;1549756750
SBER;W;26/09/11;000000;70.4400000;1855544060
SBER;W;03/10/11;000000;68.2200000;2139740140
SBER;W;10/10/11;000000;80.7200000;2261749030
SBER;W;17/10/11;000000;81.9000000;2489298150
SBER;W;24/10/11;000000;85.4000000;1793340830
SBER;W;31/10/11;000000;80.9000000;1581604700
SBER;W;07/11/11;000000;80.8000000;1979130830
SBER;W;14/11/11;000000;80.0300000;1647152850
SBER;W;21/11/11;000000;78.6000000;1396555640
SBER;W;28/11/11;000000;89.5000000;1820724840
SBER;W;05/12/11;000000;82.2600000;1473704710
SBER;W;12/12/11;000000;80.6200000;1555677230
SBER;W;19/12/11;000000;80.0000000;1000874380
SBER;W;26/12/11;000000;79.4000000;404770940
SBER;W;02/01/12;000000;83.2000000;451548560
SBER;W;09/01/12;000000;83.6000000;972147330
SBER;W;16/01/12;000000;85.1300000;882228060
SBER;W;23/01/12;000000;90.8000000;1300431320
SBER;W;30/01/12;000000;94.5200000;1011878100
SBER;W;06/02/12;000000;93.9400000;912001160
SBER;W;13/02/12;000000;96.7600000;833386280
SBER;W;20/02/12;000000;99.0200000;596481130
SBER;W;27/02/12;000000;101.6000000;818554280
SBER;W;05/03/12;000000;99.5700000;604472910
SBER;W;12/03/12;000000;100.1800000;1051654390
SBER;W;19/03/12;000000;97.6000000;813968350
SBER;W;26/03/12;000000;94.8600000;943943620
SBER;W;02/04/12;000000;95.6400000;866404630
SBER;W;09/04/12;000000;94.1800000;787546260
SBER;W;16/04/12;000000;95.0000000;758295370
SBER;W;23/04/12;000000;93.9500000;568220670
SBER;W;30/04/12;000000;90.4200000;390466540
SBER;W;07/05/12;000000;90.9900000;424775340
SBER;W;14/05/12;000000;78.1900000;1154074770
SBER;W;21/05/12;000000;79.8700000;978525920
SBER;W;28/05/12;000000;78.8600000;984828480
SBER;W;04/06/12;000000;81.5800000;893659960
SBER;W;11/06/12;000000;84.3400000;382047880
SBER;W;18/06/12;000000;83.7600000;590149000
SBER;W;25/06/12;000000;86.3900000;541996550
SBER;W;02/07/12;000000;89.2000000;643992460
SBER;W;09/07/12;000000;90.9800000;528799950
SBER;W;16/07/12;000000;90.1200000;437515250
SBER;W;23/07/12;000000;90.3100000;765218060
SBER;W;30/07/12;000000;91.6600000;567066600
SBER;W;06/08/12;000000;92.8500000;593822120
SBER;W;13/08/12;000000;92.0500000;447244020
SBER;W;20/08/12;000000;92.9100000;521484670
SBER;W;27/08/12;000000;93.1600000;496791270
SBER;W;03/09/12;000000;93.8600000;532081400
SBER;W;10/09/12;000000;97.0500000;580012790
SBER;W;17/09/12;000000;94.1600000;919931800
SBER;W;24/09/12;000000;90.9900000;521785380
SBER;W;01/10/12;000000;93.0200000;474525400
SBER;W;08/10/12;000000;91.5000000;342422420
SBER;W;15/10/12;000000;93.1900000;358814930
SBER;W;22/10/12;000000;91.9500000;357066060
SBER;W;29/10/12;000000;91.9500000;288870730
SBER;W;05/11/12;000000;85.8000000;377454300
SBER;W;12/11/12;000000;85.9800000;385010450
SBER;W;19/11/12;000000;89.3100000;316136620
SBER;W;26/11/12;000000;91.4100000;500416420
SBER;W;03/12/12;000000;93.2000000;416549300
SBER;W;10/12/12;000000;93.4200000;289695950
SBER;W;17/12/12;000000;93.5000000;315332140
SBER;W;24/12/12;000000;92.9400000;166194120
SBER;W;07/01/13;000000;99.5600000;271572450
SBER;W;14/01/13;000000;103.4800000;424892820
SBER;W;21/01/13;000000;103.6700000;422720880
SBER;W;28/01/13;000000;108.3600000;713159410
SBER;W;04/02/13;000000;107.0800000;397384010
SBER;W;11/02/13;000000;105.0800000;476378090
SBER;W;18/02/13;000000;106.1200000;354024230
SBER;W;25/02/13;000000;103.0900000;326062830
SBER;W;04/03/13;000000;105.3100000;246415630
SBER;W;11/03/13;000000;104.4200000;344496610
SBER;W;18/03/13;000000;99.3700000;557294640
SBER;W;25/03/13;000000;98.8600000;476072480
SBER;W;01/04/13;000000;99.2600000;355278600
SBER;W;08/04/13;000000;98.3600000;322670030
SBER;W;15/04/13;000000;96.4000000;386182330
SBER;W;22/04/13;000000;95.8000000;377956060
SBER;W;29/04/13;000000;103.0000000;232756960
SBER;W;06/05/13;000000;103.5700000;248496350
SBER;W;13/05/13;000000;105.1900000;327464220
SBER;W;20/05/13;000000;103.0800000;461953870
SBER;W;27/05/13;000000;99.0500000;363524730
SBER;W;03/06/13;000000;99.2000000;407278370
SBER;W;10/06/13;000000;93.7000000;372199260
SBER;W;17/06/13;000000;91.5000000;388875230
SBER;W;24/06/13;000000;93.6800000;431982280
SBER;W;01/07/13;000000;93.2000000;304161790
SBER;W;08/07/13;000000;98.5700000;384977260
SBER;W;15/07/13;000000;99.9900000;446927380
SBER;W;22/07/13;000000;94.8100000;411584300
SBER;W;29/07/13;000000;96.9900000;287318740
SBER;W;05/08/13;000000;95.7000000;245950430
SBER;W;12/08/13;000000;93.8000000;314455530
SBER;W;19/08/13;000000;91.9100000;398856710
SBER;W;26/08/13;000000;88.2300000;331530950
SBER;W;02/09/13;000000;92.4700000;466286010
SBER;W;09/09/13;000000;95.8200000;450373180
SBER;W;16/09/13;000000;102.3600000;527776860
SBER;W;23/09/13;000000;98.5900000;398787340
SBER;W;30/09/13;000000;100.3900000;382244250
SBER;W;07/10/13;000000;102.8700000;496780500
SBER;W;14/10/13;000000;105.1400000;450054730
SBER;W;21/10/13;000000;102.9900000;359298160
SBER;W;28/10/13;000000;103.6500000;366375090
SBER;W;04/11/13;000000;101.8600000;291139790
SBER;W;11/11/13;000000;103.6900000;488440110
SBER;W;18/11/13;000000;105.1000000;418030770
SBER;W;25/11/13;000000;103.0700000;388095560
SBER;W;02/12/13;000000;99.9000000;481667700
SBER;W;09/12/13;000000;98.9400000;452085030
SBER;W;16/12/13;000000;102.2000000;397189240
SBER;W;23/12/13;000000;100.6800000;187683690
SBER;W;30/12/13;000000;101.1700000;34094760
SBER;W;06/01/14;000000;99.2000000;170507210
SBER;W;13/01/14;000000;101.1700000;347947120
SBER;W;20/01/14;000000;99.7000000;363905950
SBER;W;27/01/14;000000;94.7000000;534185980
SBER;W;03/02/14;000000;96.5300000;417532140
SBER;W;10/02/14;000000;96.6500000;316389420
SBER;W;17/02/14;000000;95.0000000;313628860
SBER;W;24/02/14;000000;91.1600000;451438030
SBER;W;03/03/14;000000;79.9900000;1443194180
SBER;W;10/03/14;000000;71.7500000;976528730
SBER;W;17/03/14;000000;78.4700000;1288107500
SBER;W;24/03/14;000000;81.4700000;983292360
SBER;W;31/03/14;000000;82.9800000;750823890
SBER;W;07/04/14;000000;79.7500000;892832850
SBER;W;14/04/14;000000;78.8200000;967619650
SBER;W;21/04/14;000000;69.9100000;899963490
SBER;W;28/04/14;000000;72.2200000;739599910
SBER;W;05/05/14;000000;78.8000000;715948220
