<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.PEP;30;17/01/23;100000;176.1500000;177.4000000;176.1500000;176.9400000;9462
US1.PEP;30;17/01/23;103000;177.2400000;177.5400000;176.9700000;177.0200000;4535
US1.PEP;30;17/01/23;110000;177.0600000;177.2700000;176.5800000;176.7300000;3004
US1.PEP;30;17/01/23;113000;176.6700000;176.9050000;176.5100000;176.9000000;5448
US1.PEP;30;17/01/23;120000;176.8100000;177.0200000;176.7000000;176.8400000;6023
US1.PEP;30;17/01/23;123000;176.8400000;176.8400000;176.6700000;176.7000000;6507
US1.PEP;30;17/01/23;130000;176.5800000;176.9300000;176.4900000;176.4900000;12111
US1.PEP;30;17/01/23;133000;176.5600000;176.6100000;176.2600000;176.3900000;3500
US1.PEP;30;17/01/23;140000;176.3800000;176.5000000;176.1700000;176.1900000;3406
US1.PEP;30;17/01/23;143000;176.3000000;176.3700000;175.7600000;175.7800000;4017
US1.PEP;30;17/01/23;150000;175.8800000;176.3800000;175.8800000;176.1000000;2600
US1.PEP;30;17/01/23;153000;176.0500000;176.1500000;175.8600000;175.9700000;4525
US1.PEP;30;17/01/23;160000;175.9800000;176.0900000;175.5600000;176.0300000;27072
US1.PEP;30;18/01/23;100000;175.3500000;175.5900000;174.3400000;174.4900000;6849
US1.PEP;30;18/01/23;103000;174.3300000;174.5100000;173.7000000;173.7900000;2608
US1.PEP;30;18/01/23;110000;173.6600000;173.6600000;172.9300000;173.0900000;12371
US1.PEP;30;18/01/23;113000;173.0900000;173.3400000;172.9400000;173.2700000;10047
US1.PEP;30;18/01/23;120000;173.2700000;173.4700000;173.0400000;173.2900000;8143
US1.PEP;30;18/01/23;123000;173.1000000;173.1700000;172.6450000;172.6800000;5929
US1.PEP;30;18/01/23;130000;172.7200000;172.9300000;172.4300000;172.4500000;5139
US1.PEP;30;18/01/23;133000;172.5100000;172.6000000;172.1900000;172.4100000;9556
US1.PEP;30;18/01/23;140000;172.4200000;172.9500000;172.3700000;172.6300000;8745
US1.PEP;30;18/01/23;143000;172.6500000;172.7800000;172.3300000;172.4700000;8689
US1.PEP;30;18/01/23;150000;172.4500000;172.6100000;172.2900000;172.4900000;4622
US1.PEP;30;18/01/23;153000;172.4300000;172.5200000;172.2100000;172.3400000;3662
US1.PEP;30;18/01/23;160000;172.3000000;172.3000000;171.3400000;171.6100000;20574
US1.PEP;30;19/01/23;100000;171.2100000;172.1700000;170.9100000;171.4100000;20514
US1.PEP;30;19/01/23;103000;171.2900000;171.2900000;170.8800000;171.0100000;7818
US1.PEP;30;19/01/23;110000;170.9500000;171.1100000;170.4000000;171.1100000;10247
US1.PEP;30;19/01/23;113000;171.3200000;171.4000000;171.0000000;171.1000000;4549
US1.PEP;30;19/01/23;120000;171.0400000;171.1700000;170.7650000;170.7650000;2255
US1.PEP;30;19/01/23;123000;170.8000000;170.9300000;170.5500000;170.6400000;2818
US1.PEP;30;19/01/23;130000;170.5800000;170.5800000;170.2500000;170.3300000;1774
US1.PEP;30;19/01/23;133000;170.5000000;170.7500000;170.4100000;170.5200000;5242
US1.PEP;30;19/01/23;140000;170.5900000;170.7500000;170.4600000;170.5200000;2442
US1.PEP;30;19/01/23;143000;170.5600000;170.6600000;170.3200000;170.3600000;4140
US1.PEP;30;19/01/23;150000;170.2700000;170.6100000;170.1600000;170.1600000;4465
US1.PEP;30;19/01/23;153000;170.1350000;170.3400000;170.1050000;170.1200000;9051
US1.PEP;30;19/01/23;160000;170.1100000;170.2000000;169.4900000;169.6300000;31374
US1.PEP;30;20/01/23;100000;168.6400000;168.9500000;167.4700000;167.6500000;8333
US1.PEP;30;20/01/23;103000;167.6600000;168.1300000;167.5100000;167.9800000;9028
US1.PEP;30;20/01/23;110000;168.0000000;168.4600000;167.8900000;168.0500000;16240
US1.PEP;30;20/01/23;113000;168.0100000;168.5600000;167.9400000;168.4900000;8095
US1.PEP;30;20/01/23;120000;168.4100000;168.4700000;168.1600000;168.3300000;4038
US1.PEP;30;20/01/23;123000;168.3400000;168.3400000;168.0700000;168.0700000;3045
US1.PEP;30;20/01/23;130000;168.0900000;168.1300000;167.8250000;168.0500000;2044
US1.PEP;30;20/01/23;133000;167.9600000;168.2500000;167.8000000;168.2400000;4226
US1.PEP;30;20/01/23;140000;168.2900000;168.9500000;168.2800000;168.8100000;4329
US1.PEP;30;20/01/23;143000;168.8800000;169.2300000;168.8000000;169.1100000;7230
US1.PEP;30;20/01/23;150000;169.1500000;169.2400000;169.0100000;169.1100000;5383
US1.PEP;30;20/01/23;153000;169.1500000;169.8800000;169.1500000;169.4700000;11172
US1.PEP;30;20/01/23;160000;169.5500000;169.8700000;169.4500000;169.8500000;44506
