<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.PEP;60;17/01/23;10:00:00;176.1500000;177.4000000;176.1500000;176.9400000;9462
US1.PEP;60;17/01/23;11:00:00;177.2400000;177.5400000;176.5800000;176.7300000;7539
US1.PEP;60;17/01/23;12:00:00;176.6700000;177.0200000;176.5100000;176.8400000;11471
US1.PEP;60;17/01/23;13:00:00;176.8400000;176.9300000;176.4900000;176.4900000;18618
US1.PEP;60;17/01/23;14:00:00;176.5600000;176.6100000;176.1700000;176.1900000;6906
US1.PEP;60;17/01/23;15:00:00;176.3000000;176.3800000;175.7600000;176.1000000;6617
US1.PEP;60;17/01/23;16:00:00;176.0500000;176.1500000;175.5600000;176.0300000;31597
US1.PEP;60;18/01/23;10:00:00;175.3500000;175.5900000;174.3400000;174.4900000;6849
US1.PEP;60;18/01/23;11:00:00;174.3300000;174.5100000;172.9300000;173.0900000;14979
US1.PEP;60;18/01/23;12:00:00;173.0900000;173.4700000;172.9400000;173.2900000;18190
US1.PEP;60;18/01/23;13:00:00;173.1000000;173.1700000;172.4300000;172.4500000;11068
US1.PEP;60;18/01/23;14:00:00;172.5100000;172.9500000;172.1900000;172.6300000;18301
US1.PEP;60;18/01/23;15:00:00;172.6500000;172.7800000;172.2900000;172.4900000;13311
US1.PEP;60;18/01/23;16:00:00;172.4300000;172.5200000;171.3400000;171.6100000;24236
US1.PEP;60;19/01/23;10:00:00;171.2100000;172.1700000;170.9100000;171.4100000;20514
US1.PEP;60;19/01/23;11:00:00;171.2900000;171.2900000;170.4000000;171.1100000;18065
US1.PEP;60;19/01/23;12:00:00;171.3200000;171.4000000;170.7650000;170.7650000;6804
US1.PEP;60;19/01/23;13:00:00;170.8000000;170.9300000;170.2500000;170.3300000;4592
US1.PEP;60;19/01/23;14:00:00;170.5000000;170.7500000;170.4100000;170.5200000;7684
US1.PEP;60;19/01/23;15:00:00;170.5600000;170.6600000;170.1600000;170.1600000;8605
US1.PEP;60;19/01/23;16:00:00;170.1350000;170.3400000;169.4900000;169.6300000;40425
US1.PEP;60;20/01/23;10:00:00;168.6400000;168.9500000;167.4700000;167.6500000;8333
US1.PEP;60;20/01/23;11:00:00;167.6600000;168.4600000;167.5100000;168.0500000;25268
US1.PEP;60;20/01/23;12:00:00;168.0100000;168.5600000;167.9400000;168.3300000;12133
US1.PEP;60;20/01/23;13:00:00;168.3400000;168.3400000;167.8250000;168.0500000;5089
US1.PEP;60;20/01/23;14:00:00;167.9600000;168.9500000;167.8000000;168.8100000;8555
US1.PEP;60;20/01/23;15:00:00;168.8800000;169.2400000;168.8000000;169.1100000;12613
US1.PEP;60;20/01/23;16:00:00;169.1500000;169.8800000;169.1500000;169.8500000;55678
