<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ABRD;W;06/04/20;000000;135.0000000
ABRD;W;13/04/20;000000;130.0000000
ABRD;W;20/04/20;000000;133.0000000
ABRD;W;27/04/20;000000;131.5000000
ABRD;W;04/05/20;000000;130.5000000
ABRD;W;11/05/20;000000;130.5000000
ABRD;W;18/05/20;000000;132.0000000
ABRD;W;25/05/20;000000;131.5000000
ABRD;W;01/06/20;000000;130.5000000
ABRD;W;08/06/20;000000;130.5000000
ABRD;W;15/06/20;000000;130.0000000
ABRD;W;22/06/20;000000;999.0000000
ABRD;W;29/06/20;000000;13.5000000
ABRD;W;06/07/20;000000;130.0000000
ABRD;W;13/07/20;000000;129.5000000
ABRD;W;20/07/20;000000;129.5000000
ABRD;W;27/07/20;000000;129.5000000
ABRD;W;03/08/20;000000;179.5000000
ABRD;W;10/08/20;000000;229.5000000
ABRD;W;17/08/20;000000;204.0000000
ABRD;W;24/08/20;000000;999.5000000
ABRD;W;31/08/20;000000;205.0000000
ABRD;W;07/09/20;000000;203.5000000
ABRD;W;14/09/20;000000;204.5000000
ABRD;W;21/09/20;000000;199.5000000
ABRD;W;28/09/20;000000;193.0000000
ABRD;W;05/10/20;000000;198.5000000
ABRD;W;12/10/20;000000;200.0000000
ABRD;W;19/10/20;000000;193.0000000
ABRD;W;26/10/20;000000;190.0000000
ABRD;W;02/11/20;000000;192.5000000
ABRD;W;09/11/20;000000;197.5000000
ABRD;W;16/11/20;000000;201.5000000
ABRD;W;23/11/20;000000;207.5000000
ABRD;W;30/11/20;000000;209.5000000
