<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ACKO;W;06/04/20;000000;4.1800000
ACKO;W;13/04/20;000000;4.0000000
ACKO;W;20/04/20;000000;4.3000000
ACKO;W;27/04/20;000000;5.3600000
ACKO;W;04/05/20;000000;5.4200000
ACKO;W;11/05/20;000000;4.8400000
ACKO;W;18/05/20;000000;4.9600000
ACKO;W;25/05/20;000000;5.0600000
ACKO;W;01/06/20;000000;5.0600000
ACKO;W;08/06/20;000000;5.0800000
ACKO;W;15/06/20;000000;5.2200000
ACKO;W;22/06/20;000000;5.2200000
ACKO;W;29/06/20;000000;5.0400000
ACKO;W;06/07/20;000000;45.000000
ACKO;W;13/07/20;000000;40.940000
ACKO;W;20/07/20;000000;5.0000000
ACKO;W;27/07/20;000000;5.0800000
ACKO;W;03/08/20;000000;5.1000000
ACKO;W;10/08/20;000000;5.2800000
ACKO;W;17/08/20;000000;5.1800000
ACKO;W;24/08/20;000000;5.0400000
ACKO;W;31/08/20;000000;5.0200000
ACKO;W;07/09/20;000000;5.0800000
ACKO;W;14/09/20;000000;0.1000000
ACKO;W;21/09/20;000000;5.0200000
ACKO;W;28/09/20;000000;4.9600000
ACKO;W;05/10/20;000000;4.9600000
ACKO;W;12/10/20;000000;4.8200000
ACKO;W;19/10/20;000000;4.7400000
ACKO;W;26/10/20;000000;4.5400000
ACKO;W;02/11/20;000000;4.6600000
ACKO;W;09/11/20;000000;4.6600000
ACKO;W;16/11/20;000000;4.6800000
ACKO;W;23/11/20;000000;4.9000000
ACKO;W;30/11/20;000000;4.8400000
