<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFKS;W;06/04/20;000000;14.3300000
AFKS;W;13/04/20;000000;13.3270000
AFKS;W;20/04/20;000000;13.5050000
AFKS;W;27/04/20;000000;14.4500000
AFKS;W;04/05/20;000000;14.4850000
AFKS;W;11/05/20;000000;14.0000000
AFKS;W;18/05/20;000000;14.4880000
AFKS;W;25/05/20;000000;15.3000000
AFKS;W;01/06/20;000000;16.9410000
AFKS;W;08/06/20;000000;16.1100000
AFKS;W;15/06/20;000000;99.7850000
AFKS;W;22/06/20;000000;0.2350000
AFKS;W;29/06/20;000000;17.2560000
AFKS;W;06/07/20;000000;17.7170000
AFKS;W;13/07/20;000000;18.4100000
AFKS;W;20/07/20;000000;18.8980000
AFKS;W;27/07/20;000000;19.7580000
AFKS;W;03/08/20;000000;20.1160000
AFKS;W;10/08/20;000000;99.7470000
AFKS;W;17/08/20;000000;1.7000000
AFKS;W;24/08/20;000000;21.2970000
AFKS;W;31/08/20;000000;20.7190000
AFKS;W;07/09/20;000000;20.9500000
AFKS;W;14/09/20;000000;20.6980000
AFKS;W;21/09/20;000000;21.1520000
AFKS;W;28/09/20;000000;23.2000000
AFKS;W;05/10/20;000000;23.5110000
AFKS;W;12/10/20;000000;24.8730000
AFKS;W;19/10/20;000000;25.5700000
AFKS;W;26/10/20;000000;25.2300000
AFKS;W;02/11/20;000000;26.8000000
AFKS;W;09/11/20;000000;32.4800000
AFKS;W;16/11/20;000000;33.4300000
AFKS;W;23/11/20;000000;30.8900000
AFKS;W;30/11/20;000000;29.7940000
