<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AKRN;W;06/04/20;000000;6034.0000000
AKRN;W;13/04/20;000000;5762.0000000
AKRN;W;20/04/20;000000;5838.0000000
AKRN;W;27/04/20;000000;5770.0000000
AKRN;W;04/05/20;000000;5844.0000000
AKRN;W;11/05/20;000000;5888.0000000
AKRN;W;18/05/20;000000;6050.0000000
AKRN;W;25/05/20;000000;6120.0000000
AKRN;W;01/06/20;000000;5900.0000000
AKRN;W;08/06/20;000000;547.0000000
AKRN;W;15/06/20;000000;550.0000000
AKRN;W;22/06/20;000000;480.0000000
AKRN;W;29/06/20;000000;576.0000000
AKRN;W;06/07/20;000000;626.0000000
AKRN;W;13/07/20;000000;5668.0000000
AKRN;W;20/07/20;000000;5662.0000000
AKRN;W;27/07/20;000000;5816.0000000
AKRN;W;03/08/20;000000;5822.0000000
AKRN;W;10/08/20;000000;5860.0000000
AKRN;W;17/08/20;000000;858.0000000
AKRN;W;24/08/20;000000;9999.0000000
AKRN;W;31/08/20;000000;5940.0000000
AKRN;W;07/09/20;000000;5916.0000000
AKRN;W;14/09/20;000000;5928.0000000
AKRN;W;21/09/20;000000;6080.0000000
AKRN;W;28/09/20;000000;6270.0000000
AKRN;W;05/10/20;000000;6086.0000000
AKRN;W;12/10/20;000000;6158.0000000
AKRN;W;19/10/20;000000;5990.0000000
AKRN;W;26/10/20;000000;6362.0000000
AKRN;W;02/11/20;000000;6348.0000000
AKRN;W;09/11/20;000000;6200.0000000
AKRN;W;16/11/20;000000;6130.0000000
AKRN;W;23/11/20;000000;6100.0000000
AKRN;W;30/11/20;000000;6010.0000000
