<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ALRS;W;06/04/20;000000;66.3500000
ALRS;W;13/04/20;000000;60.7800000
ALRS;W;20/04/20;000000;61.1100000
ALRS;W;27/04/20;000000;62.2000000
ALRS;W;04/05/20;000000;62.4000000
ALRS;W;11/05/20;000000;59.8200000
ALRS;W;18/05/20;000000;63.8100000
ALRS;W;25/05/20;000000;66.0000000
ALRS;W;01/06/20;000000;65.0500000
ALRS;W;08/06/20;000000;62.9500000
ALRS;W;15/06/20;000000;64.2200000
ALRS;W;22/06/20;000000;63.2400000
ALRS;W;29/06/20;000000;65.6700000
ALRS;W;06/07/20;000000;999.2000000
ALRS;W;13/07/20;000000;64.0400000
ALRS;W;20/07/20;000000;64.9400000
ALRS;W;27/07/20;000000;68.2700000
ALRS;W;03/08/20;000000;68.8500000
ALRS;W;10/08/20;000000;1.9800000
ALRS;W;17/08/20;000000;1.4300000
ALRS;W;24/08/20;000000;67.1800000
ALRS;W;31/08/20;000000;67.9200000
ALRS;W;07/09/20;000000;74.9400000
ALRS;W;14/09/20;000000;999.3000000
ALRS;W;21/09/20;000000;71.9400000
ALRS;W;28/09/20;000000;74.1200000
ALRS;W;05/10/20;000000;75.4100000
ALRS;W;12/10/20;000000;76.0000000
ALRS;W;19/10/20;000000;74.9400000
ALRS;W;26/10/20;000000;70.7500000
ALRS;W;02/11/20;000000;76.7800000
ALRS;W;09/11/20;000000;81.2000000
ALRS;W;16/11/20;000000;88.3800000
ALRS;W;23/11/20;000000;90.5300000
ALRS;W;30/11/20;000000;91.5400000
