<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
APTK;W;06/04/20;000000;12.9560000
APTK;W;13/04/20;000000;13.1520000
APTK;W;20/04/20;000000;13.8000000
APTK;W;27/04/20;000000;14.0220000
APTK;W;04/05/20;000000;13.6000000
APTK;W;11/05/20;000000;13.3500000
APTK;W;18/05/20;000000;13.8680000
APTK;W;25/05/20;000000;99.6340000
APTK;W;01/06/20;000000;99.7560000
APTK;W;08/06/20;000000;0.9500000
APTK;W;15/06/20;000000;13.8500000
APTK;W;22/06/20;000000;14.0580000
APTK;W;29/06/20;000000;14.0800000
APTK;W;06/07/20;000000;13.8680000
APTK;W;13/07/20;000000;13.4260000
APTK;W;20/07/20;000000;13.5480000
APTK;W;27/07/20;000000;13.3960000
APTK;W;03/08/20;000000;99.2960000
APTK;W;10/08/20;000000;13.4360000
APTK;W;17/08/20;000000;13.4120000
APTK;W;24/08/20;000000;13.4540000
APTK;W;31/08/20;000000;13.4180000
APTK;W;07/09/20;000000;13.4400000
APTK;W;14/09/20;000000;13.4180000
APTK;W;21/09/20;000000;13.6420000
APTK;W;28/09/20;000000;13.7940000
APTK;W;05/10/20;000000;14.0800000
APTK;W;12/10/20;000000;14.0360000
APTK;W;19/10/20;000000;13.9240000
APTK;W;26/10/20;000000;13.7920000
APTK;W;02/11/20;000000;13.6300000
APTK;W;09/11/20;000000;13.6000000
APTK;W;16/11/20;000000;13.6200000
APTK;W;23/11/20;000000;13.4820000
APTK;W;30/11/20;000000;13.4940000
