<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BMW-TDG;D;02/08/21;000000;84.1200000;86.0000000;84.1200000;84.5900000;26080
BMW-TDG;D;03/08/21;000000;85.6000000;85.8800000;80.2600000;81.4300000;219344
BMW-TDG;D;04/08/21;000000;81.3900000;82.1500000;80.8100000;81.4600000;97415
BMW-TDG;D;05/08/21;000000;81.4400000;81.6000000;80.4900000;81.3400000;50104
BMW-TDG;D;06/08/21;000000;81.6400000;89.4300000;89.4300000;82.0700000;48171
BMW-TDG;D;09/08/21;000000;89.4300000;82.1600000;81.2300000;81.8600000;26886
BMW-TDG;D;10/08/21;000000;81.9800000;82.1600000;81.5500000;81.9000000;34023
BMW-TDG;D;11/08/21;000000;81.9400000;82.6000000;81.2300000;82.2500000;38963
BMW-TDG;D;12/08/21;000000;82.0900000;83.4600000;82.0500000;83.3200000;38902
BMW-TDG;D;13/08/21;000000;83.0100000;83.8700000;82.8100000;83.1500000;24926
BMW-TDG;D;16/08/21;000000;82.2000000;82.5400000;81.3200000;81.8200000;36568
BMW-TDG;D;17/08/21;000000;81.3600000;81.4800000;80.1200000;80.4500000;41410
BMW-TDG;D;18/08/21;000000;80.3000000;80.8000000;78.9600000;89.5900000;70651
BMW-TDG;D;19/08/21;000000;73.1100000;79.0000000;72.1700000;77.7800000;65321
BMW-TDG;D;20/08/21;000000;77.1300000;77.3000000;75.4100000;77.1000000;75373
BMW-TDG;D;23/08/21;000000;77.8700000;78.6700000;76.6100000;76.9800000;42456
BMW-TDG;D;24/08/21;000000;77.1400000;78.9800000;76.9100000;78.6000000;35059
BMW-TDG;D;25/08/21;000000;78.1700000;78.2900000;77.6500000;77.9700000;7105
BMW-TDG;D;26/08/21;000000;77.9900000;78.3000000;76.7100000;77.8800000;60342
BMW-TDG;D;27/08/21;000000;78.2800000;78.7300000;72.3900000;78.5100000;20648
BMW-TDG;D;30/08/21;000000;78.6100000;79.2200000;77.7900000;79.0600000;29975
BMW-TDG;D;31/08/21;000000;79.3500000;81.1500000;79.1300000;89.4300000;49289
BMW-TDG;D;01/09/21;000000;80.8900000;81.4500000;79.2000000;79.4900000;30756
BMW-TDG;D;02/09/21;000000;79.4300000;79.9500000;79.1600000;79.4800000;25326
BMW-TDG;D;03/09/21;000000;79.3200000;80.3000000;79.1200000;79.4700000;32364
BMW-TDG;D;06/09/21;000000;79.2500000;80.3200000;79.2500000;80.2500000;32851
BMW-TDG;D;07/09/21;000000;79.9800000;80.9700000;79.8900000;80.5600000;39558
BMW-TDG;D;08/09/21;000000;80.6600000;80.7400000;78.3700000;78.7700000;45803
BMW-TDG;D;09/09/21;000000;78.3800000;73.1100000;77.8000000;78.3500000;19286
BMW-TDG;D;10/09/21;000000;78.7400000;79.5100000;78.2000000;78.7100000;20571
BMW-TDG;D;13/09/21;000000;79.2900000;81.7900000;79.2900000;81.7000000;50533
BMW-TDG;D;14/09/21;000000;87.6200000;83.0000000;81.4100000;72.9800000;41895
BMW-TDG;D;15/09/21;000000;82.2700000;83.6100000;81.8600000;83.4700000;36518
BMW-TDG;D;16/09/21;000000;83.3600000;83.7500000;82.0100000;82.7700000;32101
BMW-TDG;D;17/09/21;000000;82.5100000;89.4300000;80.0800000;80.6000000;31630
BMW-TDG;D;20/09/21;000000;79.7900000;79.7900000;76.5800000;77.6600000;73544
BMW-TDG;D;21/09/21;000000;78.1700000;79.8400000;78.1700000;78.9200000;32051
BMW-TDG;D;22/09/21;000000;78.8900000;81.7300000;78.8900000;81.3800000;25857
BMW-TDG;D;23/09/21;000000;81.5600000;82.2200000;80.8500000;81.2700000;28359
BMW-TDG;D;24/09/21;000000;81.0100000;81.9300000;80.0600000;81.5000000;29797
