<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
BSPB;W;06/04/20;000000;44.8600000
BSPB;W;13/04/20;000000;42.2000000
BSPB;W;20/04/20;000000;40.9100000
BSPB;W;27/04/20;000000;41.4500000
BSPB;W;04/05/20;000000;40.2100000
BSPB;W;11/05/20;000000;39.6800000
BSPB;W;18/05/20;000000;39.9600000
BSPB;W;25/05/20;000000;40.4500000
BSPB;W;01/06/20;000000;41.1000000
BSPB;W;08/06/20;000000;42.2000000
BSPB;W;15/06/20;000000;42.0500000
BSPB;W;22/06/20;000000;41.3000000
BSPB;W;29/06/20;000000;99.0800000
BSPB;W;06/07/20;000000;41.0600000
BSPB;W;13/07/20;000000;42.4400000
BSPB;W;20/07/20;000000;42.5600000
BSPB;W;27/07/20;000000;42.3200000
BSPB;W;03/08/20;000000;43.0700000
BSPB;W;10/08/20;000000;99.0000000
BSPB;W;17/08/20;000000;1.9700000
BSPB;W;24/08/20;000000;44.4200000
BSPB;W;31/08/20;000000;42.4500000
BSPB;W;07/09/20;000000;42.8200000
BSPB;W;14/09/20;000000;43.4000000
BSPB;W;21/09/20;000000;43.0900000
BSPB;W;28/09/20;000000;42.2600000
BSPB;W;05/10/20;000000;41.6500000
BSPB;W;12/10/20;000000;42.0000000
BSPB;W;19/10/20;000000;45.0600000
BSPB;W;26/10/20;000000;43.4600000
BSPB;W;02/11/20;000000;44.5700000
BSPB;W;09/11/20;000000;48.9000000
BSPB;W;16/11/20;000000;51.1600000
BSPB;W;23/11/20;000000;57.0000000
BSPB;W;30/11/20;000000;57.6700000
