<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CAC40,M,01/01/17,000000,4748.9000000
CAC40,M,01/02/17,000000,4858.5800000
CAC40,M,01/03/17,000000,5122.5100000
CAC40,M,01/04/17,000000,5267.3300000
CAC40,M,01/05/17,000000,5283.6300000
CAC40,M,01/06/17,000000,5120.6800000
CAC40,M,01/07/17,000000,5093.7700000
CAC40,M,01/08/17,000000,5058.1100000
CAC40,M,01/09/17,000000,5329.8100000
CAC40,M,01/10/17,000000,5503.2900000
CAC40,M,01/11/17,000000,5372.7900000
CAC40,M,01/12/17,000000,5316.5500000
CAC40,M,01/01/18,000000,5481.9300000
CAC40,M,01/02/18,000000,5320.4900000
CAC40,M,01/03/18,000000,5167.6600000
CAC40,M,01/04/18,000000,5520.5000000
CAC40,M,01/05/18,000000,5403.7800000
CAC40,M,01/06/18,000000,5323.5300000
CAC40,M,01/07/18,000000,5511.3000000
CAC40,M,01/08/18,000000,5406.8500000
CAC40,M,01/09/18,000000,5493.4900000
CAC40,M,01/10/18,000000,5093.4400000
CAC40,M,01/11/18,000000,5003.9200000
CAC40,M,01/12/18,000000,4730.6900000
CAC40,M,01/01/19,000000,4992.7200000
CAC40,M,01/02/19,000000,5240.5300000
CAC40,M,01/03/19,000000,5350.5300000
CAC40,M,01/04/19,000000,5586.4100000
CAC40,M,01/05/19,000000,5207.6300000
CAC40,M,01/06/19,000000,5538.9700000
CAC40,M,01/07/19,000000,5518.9000000
CAC40,M,01/08/19,000000,5480.4800000
CAC40,M,01/09/19,000000,5677.7900000
CAC40,M,01/10/19,000000,5729.8600000
CAC40,M,01/11/19,000000,5905.1700000
CAC40,M,01/12/19,000000,5978.0600000
CAC40,M,01/01/20,000000,5806.3400000
CAC40,M,01/02/20,000000,5304.0000000
CAC40,M,01/03/20,000000,4396.1200000
CAC40,M,01/04/20,000000,4572.1800000
CAC40,M,01/05/20,000000,4695.4400000
CAC40,M,01/06/20,000000,4935.9900000
CAC40,M,01/07/20,000000,4783.6900000
CAC40,M,01/08/20,000000,4947.2200000
CAC40,M,01/09/20,000000,4803.4400000
CAC40,M,01/10/20,000000,4594.2400000
CAC40,M,01/11/20,000000,5518.5500000
CAC40,M,01/12/20,000000,5551.4100000
CAC40,M,01/01/21,000000,5399.2100000
CAC40,M,01/02/21,000000,5703.2200000
CAC40,M,01/03/21,000000,6067.2300000
CAC40,M,01/04/21,000000,6269.4800000
CAC40,M,01/05/21,000000,6447.1700000
CAC40,M,01/06/21,000000,6507.8300000
CAC40,M,01/07/21,000000,6612.7600000
CAC40,M,01/08/21,000000,6680.1800000
CAC40,M,01/09/21,000000,6520.0100000
CAC40,M,01/10/21,000000,6830.3400000
CAC40,M,01/11/21,000000,6721.1600000
CAC40,M,01/12/21,000000,7153.0300000
