<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
CHMF;W;06/04/20;000000;900.0000000
CHMF;W;13/04/20;000000;864.6000000
CHMF;W;20/04/20;000000;862.4000000
CHMF;W;27/04/20;000000;889.6000000
CHMF;W;04/05/20;000000;871.4000000
CHMF;W;11/05/20;000000;824.2000000
CHMF;W;18/05/20;000000;872.0000000
CHMF;W;25/05/20;000000;934.6000000
CHMF;W;01/06/20;000000;949.0000000
CHMF;W;08/06/20;000000;939.0000000
CHMF;W;15/06/20;000000;872.2000000
CHMF;W;22/06/20;000000;851.6000000
CHMF;W;29/06/20;000000;884.2000000
CHMF;W;06/07/20;000000;880.2000000
CHMF;W;13/07/20;000000;878.2000000
CHMF;W;20/07/20;000000;894.2000000
CHMF;W;27/07/20;000000;912.6000000
CHMF;W;03/08/20;000000;4.8000000
CHMF;W;10/08/20;000000;5.6000000
CHMF;W;17/08/20;000000;960.2000000
CHMF;W;24/08/20;000000;943.6000000
CHMF;W;31/08/20;000000;947.4000000
CHMF;W;07/09/20;000000;968.0000000
CHMF;W;14/09/20;000000;976.0000000
CHMF;W;21/09/20;000000;984.6000000
CHMF;W;28/09/20;000000;9999.6000000
CHMF;W;05/10/20;000000;999.6000000
CHMF;W;12/10/20;000000;995.2000000
CHMF;W;19/10/20;000000;1067.0000000
CHMF;W;26/10/20;000000;1085.0000000
CHMF;W;02/11/20;000000;1090.8000000
CHMF;W;09/11/20;000000;1109.0000000
CHMF;W;16/11/20;000000;1107.2000000
CHMF;W;23/11/20;000000;1.2000000
CHMF;W;30/11/20;000000;1188.8000000
