<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ENPG;W;06/04/20;000000;553.8000000
ENPG;W;13/04/20;000000;572.0000000
ENPG;W;20/04/20;000000;618.8000000
ENPG;W;27/04/20;000000;620.0000000
ENPG;W;04/05/20;000000;630.0000000
ENPG;W;11/05/20;000000;604.5000000
ENPG;W;18/05/20;000000;594.0000000
ENPG;W;25/05/20;000000;1.0000000
ENPG;W;01/06/20;000000;1.0000000
ENPG;W;08/06/20;000000;603.0000000
ENPG;W;15/06/20;000000;605.0000000
ENPG;W;22/06/20;000000;592.0000000
ENPG;W;29/06/20;000000;592.0000000
ENPG;W;06/07/20;000000;585.5000000
ENPG;W;13/07/20;000000;597.5000000
ENPG;W;20/07/20;000000;686.0000000
ENPG;W;27/07/20;000000;751.5000000
ENPG;W;03/08/20;000000;693.0000000
ENPG;W;10/08/20;000000;9999.0000000
ENPG;W;17/08/20;000000;672.0000000
ENPG;W;24/08/20;000000;687.5000000
ENPG;W;31/08/20;000000;659.0000000
ENPG;W;07/09/20;000000;645.0000000
ENPG;W;14/09/20;000000;661.0000000
ENPG;W;21/09/20;000000;697.5000000
ENPG;W;28/09/20;000000;705.5000000
ENPG;W;05/10/20;000000;695.5000000
ENPG;W;12/10/20;000000;703.0000000
ENPG;W;19/10/20;000000;693.5000000
ENPG;W;26/10/20;000000;660.0000000
ENPG;W;02/11/20;000000;698.0000000
ENPG;W;09/11/20;000000;695.0000000
ENPG;W;16/11/20;000000;705.5000000
ENPG;W;23/11/20;000000;727.0000000
ENPG;W;30/11/20;000000;774.0000000
