<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZA;W;06/04/20;000000;375.5000000
GAZA;W;13/04/20;000000;386.5000000
GAZA;W;20/04/20;000000;396.5000000
GAZA;W;27/04/20;000000;387.0000000
GAZA;W;04/05/20;000000;382.0000000
GAZA;W;11/05/20;000000;377.5000000
GAZA;W;18/05/20;000000;387.0000000
GAZA;W;25/05/20;000000;381.0000000
GAZA;W;01/06/20;000000;389.5000000
GAZA;W;08/06/20;000000;384.5000000
GAZA;W;15/06/20;000000;386.5000000
GAZA;W;22/06/20;000000;390.0000000
GAZA;W;29/06/20;000000;384.0000000
GAZA;W;06/07/20;000000;390.0000000
GAZA;W;13/07/20;000000;385.5000000
GAZA;W;20/07/20;000000;5.0000000
GAZA;W;27/07/20;000000;9.5000000
GAZA;W;03/08/20;000000;999.0000000
GAZA;W;10/08/20;000000;398.0000000
GAZA;W;17/08/20;000000;412.5000000
GAZA;W;24/08/20;000000;426.5000000
GAZA;W;31/08/20;000000;405.5000000
GAZA;W;07/09/20;000000;407.0000000
GAZA;W;14/09/20;000000;408.0000000
GAZA;W;21/09/20;000000;391.0000000
GAZA;W;28/09/20;000000;389.0000000
GAZA;W;05/10/20;000000;390.0000000
GAZA;W;12/10/20;000000;391.5000000
GAZA;W;19/10/20;000000;399.0000000
GAZA;W;26/10/20;000000;387.5000000
GAZA;W;02/11/20;000000;392.5000000
GAZA;W;09/11/20;000000;390.5000000
GAZA;W;16/11/20;000000;393.0000000
GAZA;W;23/11/20;000000;393.0000000
GAZA;W;30/11/20;000000;395.5000000
