<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;W;06/04/20;000000;20650.0000000
GMKN;W;13/04/20;000000;19718.0000000
GMKN;W;20/04/20;000000;20150.0000000
GMKN;W;27/04/20;000000;20478.0000000
GMKN;W;04/05/20;000000;20144.0000000
GMKN;W;11/05/20;000000;20206.0000000
GMKN;W;18/05/20;000000;22002.0000000
GMKN;W;25/05/20;000000;22110.0000000
GMKN;W;01/06/20;000000;20400.0000000
GMKN;W;08/06/20;000000;19482.0000000
GMKN;W;15/06/20;000000;19004.0000000
GMKN;W;22/06/20;000000;19678.0000000
GMKN;W;29/06/20;000000;19000.0000000
GMKN;W;06/07/20;000000;18550.0000000
GMKN;W;13/07/20;000000;18350.0000000
GMKN;W;20/07/20;000000;19060.0000000
GMKN;W;27/07/20;000000;19650.0000000
GMKN;W;03/08/20;000000;20438.0000000
GMKN;W;10/08/20;000000;0.0000000
GMKN;W;17/08/20;000000;1.0000000
GMKN;W;24/08/20;000000;99999.0000000
GMKN;W;31/08/20;000000;99999.0000000
GMKN;W;07/09/20;000000;19354.0000000
GMKN;W;14/09/20;000000;19300.0000000
GMKN;W;21/09/20;000000;18888.0000000
GMKN;W;28/09/20;000000;18840.0000000
GMKN;W;05/10/20;000000;19450.0000000
GMKN;W;12/10/20;000000;19682.0000000
GMKN;W;19/10/20;000000;19838.0000000
GMKN;W;26/10/20;000000;18864.0000000
GMKN;W;02/11/20;000000;20138.0000000
GMKN;W;09/11/20;000000;20486.0000000
GMKN;W;16/11/20;000000;20734.0000000
GMKN;W;23/11/20;000000;21720.0000000
GMKN;W;30/11/20;000000;23188.0000000
