<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ISKJ;W;06/04/20;000000;12.1600000
ISKJ;W;13/04/20;000000;39.2800000
ISKJ;W;20/04/20;000000;27.3300000
ISKJ;W;27/04/20;000000;31.9500000
ISKJ;W;04/05/20;000000;33.1700000
ISKJ;W;11/05/20;000000;30.1500000
ISKJ;W;18/05/20;000000;29.2900000
ISKJ;W;25/05/20;000000;29.7900000
ISKJ;W;01/06/20;000000;27.9900000
ISKJ;W;08/06/20;000000;28.0800000
ISKJ;W;15/06/20;000000;27.3500000
ISKJ;W;22/06/20;000000;999.0500000
ISKJ;W;29/06/20;000000;999.0400000
ISKJ;W;06/07/20;000000;0.1100000
ISKJ;W;13/07/20;000000;26.4400000
ISKJ;W;20/07/20;000000;25.7000000
ISKJ;W;27/07/20;000000;24.9500000
ISKJ;W;03/08/20;000000;24.1100000
ISKJ;W;10/08/20;000000;24.6000000
ISKJ;W;17/08/20;000000;23.1000000
ISKJ;W;24/08/20;000000;22.8000000
ISKJ;W;31/08/20;000000;22.0900000
ISKJ;W;07/09/20;000000;27.4000000
ISKJ;W;14/09/20;000000;26.5200000
ISKJ;W;21/09/20;000000;34.5000000
ISKJ;W;28/09/20;000000;33.5000000
ISKJ;W;05/10/20;000000;31.9500000
ISKJ;W;12/10/20;000000;29.6600000
ISKJ;W;19/10/20;000000;28.8100000
ISKJ;W;26/10/20;000000;26.2300000
ISKJ;W;02/11/20;000000;30.0800000
ISKJ;W;09/11/20;000000;34.0700000
ISKJ;W;16/11/20;000000;33.9000000
ISKJ;W;23/11/20;000000;36.3600000
ISKJ;W;30/11/20;000000;37.5300000
