<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
KMAZ;W;06/04/20;000000;54.1000000
KMAZ;W;13/04/20;000000;53.0000000
KMAZ;W;20/04/20;000000;54.9000000
KMAZ;W;27/04/20;000000;55.5000000
KMAZ;W;04/05/20;000000;56.0000000
KMAZ;W;11/05/20;000000;54.3000000
KMAZ;W;18/05/20;000000;55.0000000
KMAZ;W;25/05/20;000000;55.9000000
KMAZ;W;01/06/20;000000;60.0000000
KMAZ;W;08/06/20;000000;57.3000000
KMAZ;W;15/06/20;000000;57.6000000
KMAZ;W;22/06/20;000000;57.0000000
KMAZ;W;29/06/20;000000;57.1000000
KMAZ;W;06/07/20;000000;56.2000000
KMAZ;W;13/07/20;000000;999.5000000
KMAZ;W;20/07/20;000000;999.1000000
KMAZ;W;27/07/20;000000;0.7000000
KMAZ;W;03/08/20;000000;65.7000000
KMAZ;W;10/08/20;000000;65.4000000
KMAZ;W;17/08/20;000000;64.4000000
KMAZ;W;24/08/20;000000;63.9000000
KMAZ;W;31/08/20;000000;61.8000000
KMAZ;W;07/09/20;000000;62.6000000
KMAZ;W;14/09/20;000000;63.2000000
KMAZ;W;21/09/20;000000;60.6000000
KMAZ;W;28/09/20;000000;59.3000000
KMAZ;W;05/10/20;000000;59.6000000
KMAZ;W;12/10/20;000000;62.0000000
KMAZ;W;19/10/20;000000;61.4000000
KMAZ;W;26/10/20;000000;57.7000000
KMAZ;W;02/11/20;000000;60.8000000
KMAZ;W;09/11/20;000000;61.2000000
KMAZ;W;16/11/20;000000;61.5000000
KMAZ;W;23/11/20;000000;63.9000000
KMAZ;W;30/11/20;000000;65.9000000
