<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MGNT;W;06/04/20;000000;3321.5000000
MGNT;W;13/04/20;000000;3236.0000000
MGNT;W;20/04/20;000000;3215.5000000
MGNT;W;27/04/20;000000;3690.0000000
MGNT;W;04/05/20;000000;3663.0000000
MGNT;W;11/05/20;000000;3544.5000000
MGNT;W;18/05/20;000000;3616.0000000
MGNT;W;25/05/20;000000;3740.0000000
MGNT;W;01/06/20;000000;3846.0000000
MGNT;W;08/06/20;000000;4004.0000000
MGNT;W;15/06/20;000000;3980.0000000
MGNT;W;22/06/20;000000;4180.5000000
MGNT;W;29/06/20;000000;4222.0000000
MGNT;W;06/07/20;000000;4307.0000000
MGNT;W;13/07/20;000000;4302.0000000
MGNT;W;20/07/20;000000;4782.5000000
MGNT;W;27/07/20;000000;4586.0000000
MGNT;W;03/08/20;000000;9999.0000000
MGNT;W;10/08/20;000000;3.5000000
MGNT;W;17/08/20;000000;51.0000000
MGNT;W;24/08/20;000000;11.5000000
MGNT;W;31/08/20;000000;4590.5000000
MGNT;W;07/09/20;000000;4663.5000000
MGNT;W;14/09/20;000000;4805.0000000
MGNT;W;21/09/20;000000;5025.0000000
MGNT;W;28/09/20;000000;4906.5000000
MGNT;W;05/10/20;000000;4690.5000000
MGNT;W;12/10/20;000000;4782.0000000
MGNT;W;19/10/20;000000;4855.5000000
MGNT;W;26/10/20;000000;4706.0000000
MGNT;W;02/11/20;000000;4796.0000000
MGNT;W;09/11/20;000000;4932.0000000
MGNT;W;16/11/20;000000;4933.0000000
MGNT;W;23/11/20;000000;4985.5000000
MGNT;W;30/11/20;000000;4992.5000000
