<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MTSS;W;06/04/20;000000;310.9500000
MTSS;W;13/04/20;000000;305.3500000
MTSS;W;20/04/20;000000;306.8000000
MTSS;W;27/04/20;000000;319.6000000
MTSS;W;04/05/20;000000;325.3000000
MTSS;W;11/05/20;000000;320.1500000
MTSS;W;18/05/20;000000;327.1000000
MTSS;W;25/05/20;000000;320.0000000
MTSS;W;01/06/20;000000;326.2500000
MTSS;W;08/06/20;000000;322.8000000
MTSS;W;15/06/20;000000;327.3500000
MTSS;W;22/06/20;000000;324.3000000
MTSS;W;29/06/20;000000;334.6000000
MTSS;W;06/07/20;000000;0.9500000
MTSS;W;13/07/20;000000;999.5500000
MTSS;W;20/07/20;000000;999.0000000
MTSS;W;27/07/20;000000;3.5500000
MTSS;W;03/08/20;000000;329.7500000
MTSS;W;10/08/20;000000;340.2000000
MTSS;W;17/08/20;000000;341.5000000
MTSS;W;24/08/20;000000;341.7500000
MTSS;W;31/08/20;000000;336.0000000
MTSS;W;07/09/20;000000;331.7000000
MTSS;W;14/09/20;000000;337.4500000
MTSS;W;21/09/20;000000;340.2000000
MTSS;W;28/09/20;000000;340.4500000
MTSS;W;05/10/20;000000;329.0000000
MTSS;W;12/10/20;000000;321.7500000
MTSS;W;19/10/20;000000;318.4000000
MTSS;W;26/10/20;000000;311.6000000
MTSS;W;02/11/20;000000;323.6500000
MTSS;W;09/11/20;000000;321.7000000
MTSS;W;16/11/20;000000;317.7000000
MTSS;W;23/11/20;000000;321.0000000
MTSS;W;30/11/20;000000;316.8500000
