<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MVID;W;06/04/20;000000;379.5000000;776260
MVID;W;13/04/20;000000;337.0000000;992580
MVID;W;20/04/20;000000;352.2000000;685650
MVID;W;27/04/20;000000;363.7000000;760880
MVID;W;04/05/20;000000;362.0000000;307090
MVID;W;11/05/20;000000;345.1000000;329570
MVID;W;18/05/20;000000;343.4000000;2149740
MVID;W;25/05/20;000000;340.0000000;2756840
MVID;W;01/06/20;000000;408.0000000;4695070
MVID;W;08/06/20;000000;412.6000000;2277280
MVID;W;15/06/20;000000;387.7000000;1252130
MVID;W;22/06/20;000000;407.8000000;1048100
MVID;W;29/06/20;000000;404.4000000;684990
MVID;W;06/07/20;000000;401.7000000;419940
MVID;W;13/07/20;000000;399.0000000;453500
MVID;W;20/07/20;000000;446.2000000;2390650
MVID;W;27/07/20;000000;431.3000000;1528290
MVID;W;03/08/20;000000;465.8000000;2385480
MVID;W;10/08/20;000000;467.4000000;825150
MVID;W;17/08/20;000000;502.6000000;1243050
MVID;W;24/08/20;000000;557.0000000;4225080
MVID;W;31/08/20;000000;562.8000000;1571530
MVID;W;07/09/20;000000;583.0000000;1195190
MVID;W;14/09/20;000000;576.0000000;884620
MVID;W;21/09/20;000000;628.8000000;2387640
MVID;W;28/09/20;000000;682.7000000;2780940
MVID;W;05/10/20;000000;658.0000000;2175740
MVID;W;12/10/20;000000;670.8000000;2675870
MVID;W;19/10/20;000000;677.1000000;863780
MVID;W;26/10/20;000000;680.5000000;1281670
MVID;W;02/11/20;000000;685.8000000;875770
MVID;W;09/11/20;000000;706.8000000;2200500
MVID;W;16/11/20;000000;718.5000000;2501720
MVID;W;23/11/20;000000;701.0000000;1140740
MVID;W;30/11/20;000000;735.0000000;1834830
