<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;W;06/04/20;000000;131.5800000
NLMK;W;13/04/20;000000;126.1000000
NLMK;W;20/04/20;000000;124.8400000
NLMK;W;27/04/20;000000;128.3400000
NLMK;W;04/05/20;000000;125.0000000
NLMK;W;11/05/20;000000;118.4000000
NLMK;W;18/05/20;000000;128.2800000
NLMK;W;25/05/20;000000;137.7600000
NLMK;W;01/06/20;000000;142.0000000
NLMK;W;08/06/20;000000;135.6000000
NLMK;W;15/06/20;000000;138.8600000
NLMK;W;22/06/20;000000;999.2800000
NLMK;W;29/06/20;000000;143.2000000
NLMK;W;06/07/20;000000;135.6400000
NLMK;W;13/07/20;000000;137.7400000
NLMK;W;20/07/20;000000;1.8400000
NLMK;W;27/07/20;000000;999.7200000
NLMK;W;03/08/20;000000;149.5000000
NLMK;W;10/08/20;000000;160.4800000
NLMK;W;17/08/20;000000;159.9200000
NLMK;W;24/08/20;000000;156.1000000
NLMK;W;31/08/20;000000;162.5000000
NLMK;W;07/09/20;000000;162.9800000
NLMK;W;14/09/20;000000;166.6800000
NLMK;W;21/09/20;000000;168.5800000
NLMK;W;28/09/20;000000;173.4600000
NLMK;W;05/10/20;000000;169.2200000
NLMK;W;12/10/20;000000;170.5600000
NLMK;W;19/10/20;000000;179.5000000
NLMK;W;26/10/20;000000;185.1000000
NLMK;W;02/11/20;000000;189.5000000
NLMK;W;09/11/20;000000;197.7200000
NLMK;W;16/11/20;000000;191.3400000
NLMK;W;23/11/20;000000;198.3800000
NLMK;W;30/11/20;000000;192.3800000
