<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
PIKK;W;06/04/20;000000;398.0000000
PIKK;W;13/04/20;000000;389.6000000
PIKK;W;20/04/20;000000;391.0000000
PIKK;W;27/04/20;000000;391.5000000
PIKK;W;04/05/20;000000;379.9000000
PIKK;W;11/05/20;000000;364.1000000
PIKK;W;18/05/20;000000;368.3000000
PIKK;W;25/05/20;000000;383.9000000
PIKK;W;01/06/20;000000;389.8000000
PIKK;W;08/06/20;000000;395.7000000
PIKK;W;15/06/20;000000;416.5000000
PIKK;W;22/06/20;000000;424.8000000
PIKK;W;29/06/20;000000;425.2000000
PIKK;W;06/07/20;000000;0.8000000
PIKK;W;13/07/20;000000;999.0000000
PIKK;W;20/07/20;000000;454.7000000
PIKK;W;27/07/20;000000;486.9000000
PIKK;W;03/08/20;000000;498.6000000
PIKK;W;10/08/20;000000;0.7000000
PIKK;W;17/08/20;000000;999.9000000
PIKK;W;24/08/20;000000;497.6000000
PIKK;W;31/08/20;000000;534.0000000
PIKK;W;07/09/20;000000;564.8000000
PIKK;W;14/09/20;000000;559.1000000
PIKK;W;21/09/20;000000;559.0000000
PIKK;W;28/09/20;000000;567.2000000
PIKK;W;05/10/20;000000;567.9000000
PIKK;W;12/10/20;000000;598.3000000
PIKK;W;19/10/20;000000;596.0000000
PIKK;W;26/10/20;000000;569.0000000
PIKK;W;02/11/20;000000;582.1000000
PIKK;W;09/11/20;000000;587.4000000
PIKK;W;16/11/20;000000;595.1000000
PIKK;W;23/11/20;000000;594.6000000
PIKK;W;30/11/20;000000;593.4000000
