<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.IMOEX;M;01/01/17;000000;2240.2800000;2293.9900000;2136.3500000;2217.3900000;598763509436
RI.IMOEX;M;01/02/17;000000;2219.1900000;2236.8000000;2027.0500000;2035.7700000;575033767512
RI.IMOEX;M;01/03/17;000000;2034.2800000;2076.7100000;1965.2300000;1995.9000000;722282156394
RI.IMOEX;M;01/04/17;000000;1998.7900000;2058.1100000;1900.7200000;2016.7100000;603631839036
RI.IMOEX;M;01/05/17;000000;2022.1900000;2044.2400000;1893.3900000;1900.3800000;624125928680
RI.IMOEX;M;01/06/17;000000;1900.8900000;1904.8200000;1774.5600000;1879.5000000;687658650794
RI.IMOEX;M;01/07/17;000000;1886.7200000;1972.4900000;1881.9800000;1919.5300000;597535811402
RI.IMOEX;M;01/08/17;000000;1924.7700000;2030.8600000;1921.3400000;2022.2200000;629603785075
RI.IMOEX;M;01/09/17;000000;2021.9300000;2086.6500000;1992.6800000;2077.1900000;665536194852
RI.IMOEX;M;01/10/17;000000;2077.1600000;2106.4900000;2038.2600000;2064.3100000;609738140159
RI.IMOEX;M;01/11/17;000000;2070.6800000;2191.7100000;2065.6900000;2100.6200000;913741744573
RI.IMOEX;M;01/12/17;000000;2102.5400000;2160.7500000;2082.2900000;2109.7400000;545722046514
RI.IMOEX;M;01/01/18;000000;2114.8800000;2328.4800000;2114.5900000;2289.9900000;778021040717
RI.IMOEX;M;01/02/18;000000;2292.2200000;2376.9600000;2181.9600000;2296.8000000;869059261885
RI.IMOEX;M;01/03/18;000000;2286.4100000;2326.4100000;2240.8500000;2270.9800000;789972207225
RI.IMOEX;M;01/04/18;000000;2272.5500000;2322.3800000;2065.3200000;2307.0200000;1254571357223
RI.IMOEX;M;01/05/18;000000;2304.2800000;2358.5900000;2274.0700000;2302.8800000;761134279614
RI.IMOEX;M;01/06/18;000000;2298.1200000;2329.0300000;2192.6300000;2295.9500000;700910493195
RI.IMOEX;M;01/07/18;000000;2292.7600000;2379.3300000;2239.7700000;2321.1100000;705441786918
RI.IMOEX;M;01/08/18;000000;2318.0600000;2359.5800000;2240.7100000;2345.8500000;846362205834
RI.IMOEX;M;01/09/18;000000;2344.0300000;2476.8600000;2305.2700000;2475.3600000;818506504781
RI.IMOEX;M;01/10/18;000000;2481.2700000;2501.7800000;2275.5800000;2352.7100000;974694008606
RI.IMOEX;M;01/11/18;000000;2350.7100000;2454.8400000;2284.3000000;2392.5000000;847971342360
RI.IMOEX;M;01/12/18;000000;2419.7800000;2449.9200000;2258.2700000;2369.3300000;686814785929
RI.IMOEX;M;01/01/19;000000;2369.2000000;2536.2800000;2350.4100000;2521.1000000;682146434971
