<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.RTSI;M;01/01/17;000000;1147.2900000;1195.6100000;1132.0400000;1164.1500000;10019840051
RI.RTSI;M;01/02/17;000000;1162.0800000;1196.9900000;1096.5700000;1099.4600000;10415296697
RI.RTSI;M;01/03/17;000000;1099.1100000;1139.7300000;1044.9600000;1113.7600000;12453088809
RI.RTSI;M;01/04/17;000000;1118.9300000;1157.4500000;1062.9000000;1114.4300000;10669447680
RI.RTSI;M;01/05/17;000000;1118.9500000;1129.4900000;1048.9300000;1053.3000000;10955811732
RI.RTSI;M;01/06/17;000000;1058.7000000;1060.0800000;958.8300000;1000.9600000;11859086650
RI.RTSI;M;01/07/17;000000;1008.4100000;1052.5900000;990.5100000;1007.1400000;10002519207
RI.RTSI;M;01/08/17;000000;1014.9800000;1098.4600000;1010.5000000;1095.8400000;10605441780
RI.RTSI;M;01/09/17;000000;1098.0800000;1144.1200000;1086.7700000;1136.7500000;11547038916
RI.RTSI;M;01/10/17;000000;1138.2100000;1161.8200000;1105.5000000;1113.4100000;10561166191
RI.RTSI;M;01/11/17;000000;1118.3400000;1170.4600000;1107.6500000;1131.5600000;15472137549
RI.RTSI;M;01/12/17;000000;1133.5200000;1157.4300000;1113.0400000;1154.4300000;9302915102
RI.RTSI;M;01/01/18;000000;1156.4400000;1313.4400000;1156.2800000;1282.3600000;13762580749
RI.RTSI;M;01/02/18;000000;1285.0700000;1339.4100000;1177.5400000;1285.4700000;15291946570
RI.RTSI;M;01/03/18;000000;1278.0700000;1297.3000000;1222.4700000;1249.4100000;13808831879
RI.RTSI;M;01/04/18;000000;1252.7900000;1259.5900000;1042.8200000;1153.9600000;20467689506
RI.RTSI;M;01/05/18;000000;1153.3100000;1203.9900000;1128.2200000;1162.9800000;12217627879
RI.RTSI;M;01/06/18;000000;1160.1300000;1186.6300000;1077.5200000;1154.1600000;11153996316
RI.RTSI;M;01/07/18;000000;1151.3100000;1202.4200000;1112.6300000;1173.0600000;11235900215
RI.RTSI;M;01/08/18;000000;1168.2400000;1170.0200000;1039.2900000;1092.2900000;12730688483
RI.RTSI;M;01/09/18;000000;1093.2100000;1192.0400000;1040.3000000;1192.0400000;12146323390
RI.RTSI;M;01/10/18;000000;1192.4600000;1202.1600000;1087.7400000;1126.2100000;14802891753
RI.RTSI;M;01/11/18;000000;1124.0700000;1168.5500000;1072.6900000;1126.1400000;12734921854
RI.RTSI;M;01/12/18;000000;1138.5700000;1163.6100000;1033.3100000;1068.7200000;10207167538
RI.RTSI;M;01/01/19;000000;1068.7800000;1224.5500000;1063.6300000;1214.4500000;10256555801
RI.RTSI;M;01/02/19;000000;1213.0200000;1226.5600000;1151.9500000;1188.2800000;10798395469
RI.RTSI;M;01/03/19;000000;1189.8400000;1243.7000000;1173.0500000;1198.1100000;10591747948
RI.RTSI;M;01/04/19;000000;1200.8100000;1284.9100000;1200.0400000;1248.3900000;13190305726
RI.RTSI;M;01/05/19;000000;1247.0900000;1296.8500000;1206.9600000;1287.0900000;14870337239
RI.RTSI;M;01/06/19;000000;1280.9200000;1396.1900000;1273.6200000;1380.5200000;14957578036
RI.RTSI;M;01/07/19;000000;1387.8700000;1413.8200000;1326.4800000;1360.0400000;15488411448
RI.RTSI;M;01/08/19;000000;1350.4600000;1352.7200000;1233.1900000;1293.3200000;14621303655
RI.RTSI;M;01/09/19;000000;1293.9000000;1399.3600000;1292.8600000;1333.9100000;14728263845
RI.RTSI;M;01/10/19;000000;1335.6400000;1451.2600000;1300.4500000;1422.9200000;18081727800
RI.RTSI;M;01/11/19;000000;1422.2600000;1487.8200000;1419.9100000;1438.4500000;18257609323
RI.RTSI;M;01/12/19;000000;1438.8100000;1558.2400000;1410.6100000;1548.9200000;15916191735
RI.RTSI;M;01/01/20;000000;1554.7200000;1651.8200000;1517.0700000;1517.0700000;21296142210
