<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;W;06/04/20;000000;344.0000000
ROSN;W;13/04/20;000000;313.9000000
ROSN;W;20/04/20;000000;324.0000000
ROSN;W;27/04/20;000000;335.6500000
ROSN;W;04/05/20;000000;348.0000000
ROSN;W;11/05/20;000000;350.0500000
ROSN;W;18/05/20;000000;364.5000000
ROSN;W;25/05/20;000000;376.2000000
ROSN;W;01/06/20;000000;401.9500000
ROSN;W;08/06/20;000000;376.1000000
ROSN;W;15/06/20;000000;376.1500000
ROSN;W;22/06/20;000000;367.0500000
ROSN;W;29/06/20;000000;365.3500000
ROSN;W;06/07/20;000000;0.0000000
ROSN;W;13/07/20;000000;999.8500000
ROSN;W;20/07/20;000000;359.7500000
ROSN;W;27/07/20;000000;356.9000000
ROSN;W;03/08/20;000000;367.1500000
ROSN;W;10/08/20;000000;387.9500000
ROSN;W;17/08/20;000000;0.8000000
ROSN;W;24/08/20;000000;999.6500000
ROSN;W;31/08/20;000000;372.5000000
ROSN;W;07/09/20;000000;370.0500000
ROSN;W;14/09/20;000000;376.5000000
ROSN;W;21/09/20;000000;381.4000000
ROSN;W;28/09/20;000000;380.4500000
ROSN;W;05/10/20;000000;386.5500000
ROSN;W;12/10/20;000000;382.9500000
ROSN;W;19/10/20;000000;379.8500000
ROSN;W;26/10/20;000000;349.8000000
ROSN;W;02/11/20;000000;382.3500000
ROSN;W;09/11/20;000000;419.3500000
ROSN;W;16/11/20;000000;464.8000000
ROSN;W;23/11/20;000000;461.2000000
ROSN;W;30/11/20;000000;444.8000000
