<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
RTKM;W;06/04/20;000000;78.1700000
RTKM;W;13/04/20;000000;78.2600000
RTKM;W;20/04/20;000000;77.3800000
RTKM;W;27/04/20;000000;82.1000000
RTKM;W;04/05/20;000000;82.5500000
RTKM;W;11/05/20;000000;80.8800000
RTKM;W;18/05/20;000000;81.6200000
RTKM;W;25/05/20;000000;82.9200000
RTKM;W;01/06/20;000000;0.9000000
RTKM;W;08/06/20;000000;999.0000000
RTKM;W;15/06/20;000000;86.8000000
RTKM;W;22/06/20;000000;89.1200000
RTKM;W;29/06/20;000000;88.0900000
RTKM;W;06/07/20;000000;87.0300000
RTKM;W;13/07/20;000000;86.9800000
RTKM;W;20/07/20;000000;89.5000000
RTKM;W;27/07/20;000000;999.8800000
RTKM;W;03/08/20;000000;96.1100000
RTKM;W;10/08/20;000000;99.2800000
RTKM;W;17/08/20;000000;96.6200000
RTKM;W;24/08/20;000000;97.1400000
RTKM;W;31/08/20;000000;97.2300000
RTKM;W;07/09/20;000000;94.9200000
RTKM;W;14/09/20;000000;97.5600000
RTKM;W;21/09/20;000000;98.5000000
RTKM;W;28/09/20;000000;97.0200000
RTKM;W;05/10/20;000000;92.9000000
RTKM;W;12/10/20;000000;94.1800000
RTKM;W;19/10/20;000000;95.3500000
RTKM;W;26/10/20;000000;92.3800000
RTKM;W;02/11/20;000000;93.9700000
RTKM;W;09/11/20;000000;96.8900000
RTKM;W;16/11/20;000000;94.8400000
RTKM;W;23/11/20;000000;96.1800000
RTKM;W;30/11/20;000000;97.6800000
