<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTSEU,M,01/01/17,000000,90.4900000
RTSEU,M,01/02/17,000000,84.8600000
RTSEU,M,01/03/17,000000,85.5800000
RTSEU,M,01/04/17,000000,84.1900000
RTSEU,M,01/05/17,000000,79.1600000
RTSEU,M,01/06/17,000000,76.6600000
RTSEU,M,01/07/17,000000,78.0000000
RTSEU,M,01/08/17,000000,87.8500000
RTSEU,M,01/09/17,000000,87.0800000
RTSEU,M,01/10/17,000000,83.7500000
RTSEU,M,01/11/17,000000,82.6600000
RTSEU,M,01/12/17,000000,79.9800000
RTSEU,M,01/01/18,000000,86.8700000
RTSEU,M,01/02/18,000000,87.6600000
RTSEU,M,01/03/18,000000,86.3200000
RTSEU,M,01/04/18,000000,78.1800000
RTSEU,M,01/05/18,000000,77.8600000
RTSEU,M,01/06/18,000000,75.1300000
RTSEU,M,01/07/18,000000,73.8600000
RTSEU,M,01/08/18,000000,63.5700000
RTSEU,M,01/09/18,000000,67.6800000
RTSEU,M,01/10/18,000000,63.4300000
RTSEU,M,01/11/18,000000,62.5500000
RTSEU,M,01/12/18,000000,58.3200000
RTSEU,M,01/01/19,000000,66.9800000
RTSEU,M,01/02/19,000000,65.5400000
RTSEU,M,01/03/19,000000,65.1300000
RTSEU,M,01/04/19,000000,69.1100000
RTSEU,M,01/05/19,000000,70.9000000
RTSEU,M,01/06/19,000000,80.0800000
RTSEU,M,01/07/19,000000,75.3700000
RTSEU,M,01/08/19,000000,70.5100000
RTSEU,M,01/09/19,000000,73.6100000
RTSEU,M,01/10/19,000000,73.2000000
RTSEU,M,01/11/19,000000,75.6300000
RTSEU,M,01/12/19,000000,82.3000000
RTSEU,M,01/01/20,000000,88.4900000
RTSEU,M,01/02/20,000000,79.4800000
RTSEU,M,01/03/20,000000,59.2900000
RTSEU,M,01/04/20,000000,66.8700000
RTSEU,M,01/05/20,000000,76.0300000
RTSEU,M,01/06/20,000000,75.7700000
RTSEU,M,01/07/20,000000,76.1500000
RTSEU,M,01/08/20,000000,72.6800000
RTSEU,M,01/09/20,000000,71.3500000
RTSEU,M,01/10/20,000000,66.1600000
RTSEU,M,01/11/20,000000,73.5700000
RTSEU,M,01/12/20,000000,77.8300000
RTSEU,M,01/01/21,000000,75.9200000
RTSEU,M,01/02/21,000000,76.6400000
RTSEU,M,01/03/21,000000,75.7600000
RTSEU,M,01/04/21,000000,74.9100000
RTSEU,M,01/05/21,000000,78.9700000
RTSEU,M,01/06/21,000000,76.6200000
RTSEU,M,01/07/21,000000,72.9000000
RTSEU,M,01/08/21,000000,74.7900000
RTSEU,M,01/09/21,000000,73.7300000
RTSEU,M,01/10/21,000000,77.1700000
RTSEU,M,01/11/21,000000,67.7400000
RTSEU,M,01/12/21,000000,65.9100000
