<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;W;06/04/20;000000;201.9900000
SBER;W;13/04/20;000000;191.8000000
SBER;W;20/04/20;000000;188.9100000
SBER;W;27/04/20;000000;197.2500000
SBER;W;04/05/20;000000;196.0200000
SBER;W;11/05/20;000000;183.8500000
SBER;W;18/05/20;000000;188.9000000
SBER;W;25/05/20;000000;200.5000000
SBER;W;01/06/20;000000;219.1000000
SBER;W;08/06/20;000000;208.3500000
SBER;W;15/06/20;000000;207.0000000
SBER;W;22/06/20;000000;203.1500000
SBER;W;29/06/20;000000;210.9500000
SBER;W;06/07/20;000000;212.2800000
SBER;W;13/07/20;000000;210.8100000
SBER;W;20/07/20;000000;215.9700000
SBER;W;27/07/20;000000;221.5700000
SBER;W;03/08/20;000000;227.2800000
SBER;W;10/08/20;000000;239.9900000
SBER;W;17/08/20;000000;231.2200000
SBER;W;24/08/20;000000;226.3000000
SBER;W;31/08/20;000000;222.2100000
SBER;W;07/09/20;000000;221.0700000
SBER;W;14/09/20;000000;230.3000000
SBER;W;21/09/20;000000;228.2400000
SBER;W;28/09/20;000000;208.8000000
SBER;W;05/10/20;000000;205.3800000
SBER;W;12/10/20;000000;201.1700000
SBER;W;19/10/20;000000;214.5000000
SBER;W;26/10/20;000000;200.9900000
SBER;W;02/11/20;000000;217.5000000
SBER;W;09/11/20;000000;242.9900000
SBER;W;16/11/20;000000;239.4200000
SBER;W;23/11/20;000000;251.5900000
SBER;W;30/11/20;000000;270.0000000
