<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SELG;W;06/04/20;000000;18.5000000
SELG;W;13/04/20;000000;23.0000000
SELG;W;20/04/20;000000;23.0000000
SELG;W;27/04/20;000000;21.3000000
SELG;W;04/05/20;000000;24.3500000
SELG;W;11/05/20;000000;24.1900000
SELG;W;18/05/20;000000;23.7600000
SELG;W;25/05/20;000000;24.3600000
SELG;W;01/06/20;000000;23.4900000
SELG;W;08/06/20;000000;24.4000000
SELG;W;15/06/20;000000;25.9000000
SELG;W;22/06/20;000000;25.6000000
SELG;W;29/06/20;000000;24.2000000
SELG;W;06/07/20;000000;26.4500000
SELG;W;13/07/20;000000;26.4200000
SELG;W;20/07/20;000000;33.4000000
SELG;W;27/07/20;000000;39.2000000
SELG;W;03/08/20;000000;50.5500000
SELG;W;10/08/20;000000;47.2600000
SELG;W;17/08/20;000000;47.1600000
SELG;W;24/08/20;000000;47.8800000
SELG;W;31/08/20;000000;44.8000000
SELG;W;07/09/20;000000;43.1000000
SELG;W;14/09/20;000000;44.3700000
SELG;W;21/09/20;000000;41.8800000
SELG;W;28/09/20;000000;42.5300000
SELG;W;05/10/20;000000;42.3400000
SELG;W;12/10/20;000000;43.6000000
SELG;W;19/10/20;000000;44.5400000
SELG;W;26/10/20;000000;41.4400000
SELG;W;02/11/20;000000;43.9800000
SELG;W;09/11/20;000000;44.6000000
SELG;W;16/11/20;000000;49.4000000
SELG;W;23/11/20;000000;46.7800000
SELG;W;30/11/20;000000;46.5600000
