<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
TCSG;W;06/04/20;000000;940.6000000
TCSG;W;13/04/20;000000;895.0000000
TCSG;W;20/04/20;000000;904.0000000
TCSG;W;27/04/20;000000;1025.0000000
TCSG;W;04/05/20;000000;1038.4000000
TCSG;W;11/05/20;000000;1070.0000000
TCSG;W;18/05/20;000000;1184.6000000
TCSG;W;25/05/20;000000;1253.0000000
TCSG;W;01/06/20;000000;1222.4000000
TCSG;W;08/06/20;000000;1205.0000000
TCSG;W;15/06/20;000000;1335.4000000
TCSG;W;22/06/20;000000;1462.2000000
TCSG;W;29/06/20;000000;1456.0000000
TCSG;W;06/07/20;000000;1504.4000000
TCSG;W;13/07/20;000000;1655.8000000
TCSG;W;20/07/20;000000;1775.8000000
TCSG;W;27/07/20;000000;1870.0000000
TCSG;W;03/08/20;000000;1919.0000000
TCSG;W;10/08/20;000000;1720.6000000
TCSG;W;17/08/20;000000;1892.0000000
TCSG;W;24/08/20;000000;1876.0000000
TCSG;W;31/08/20;000000;1800.0000000
TCSG;W;07/09/20;000000;1821.0000000
TCSG;W;14/09/20;000000;1962.2000000
TCSG;W;21/09/20;000000;2028.4000000
TCSG;W;28/09/20;000000;2011.0000000
TCSG;W;05/10/20;000000;1985.8000000
TCSG;W;12/10/20;000000;1827.6000000
TCSG;W;19/10/20;000000;1821.8000000
TCSG;W;26/10/20;000000;1872.2000000
TCSG;W;02/11/20;000000;2144.8000000
TCSG;W;09/11/20;000000;2337.6000000
TCSG;W;16/11/20;000000;2263.0000000
TCSG;W;23/11/20;000000;2289.8000000
TCSG;W;30/11/20;000000;2440.0000000
