<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
YNDX;W;06/04/20;000000;2701.0000000
YNDX;W;13/04/20;000000;2630.4000000
YNDX;W;20/04/20;000000;2621.0000000
YNDX;W;27/04/20;000000;2850.8000000
YNDX;W;04/05/20;000000;2975.2000000
YNDX;W;11/05/20;000000;2839.6000000
YNDX;W;18/05/20;000000;2905.0000000
YNDX;W;25/05/20;000000;2833.2000000
YNDX;W;01/06/20;000000;2884.0000000
YNDX;W;08/06/20;000000;2850.0000000
YNDX;W;15/06/20;000000;3155.0000000
YNDX;W;22/06/20;000000;3430.0000000
YNDX;W;29/06/20;000000;3549.6000000
YNDX;W;06/07/20;000000;3633.0000000
YNDX;W;13/07/20;000000;3950.0000000
YNDX;W;20/07/20;000000;4017.2000000
YNDX;W;27/07/20;000000;4257.0000000
YNDX;W;03/08/20;000000;4360.0000000
YNDX;W;10/08/20;000000;4389.6000000
YNDX;W;17/08/20;000000;4772.0000000
YNDX;W;24/08/20;000000;4845.0000000
YNDX;W;31/08/20;000000;4885.0000000
YNDX;W;07/09/20;000000;4662.0000000
YNDX;W;14/09/20;000000;4628.0000000
YNDX;W;21/09/20;000000;4934.0000000
YNDX;W;28/09/20;000000;4907.0000000
YNDX;W;05/10/20;000000;4683.0000000
YNDX;W;12/10/20;000000;4530.0000000
YNDX;W;19/10/20;000000;4523.2000000
YNDX;W;26/10/20;000000;4561.0000000
YNDX;W;02/11/20;000000;4927.0000000
YNDX;W;09/11/20;000000;4799.0000000
YNDX;W;16/11/20;000000;4745.6000000
YNDX;W;23/11/20;000000;5115.0000000
YNDX;W;30/11/20;000000;5065.2000000
