<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BANE;D;02/08/21;000000;1400.0000000;1408.0000000;1392.0000000;1400.0000000;7175
BANE;D;03/08/21;000000;1395.5000000;1406.5000000;1380.0000000;1387.0000000;6207
BANE;D;04/08/21;000000;1397.0000000;1403.0000000;1390.0000000;1395.5000000;3902
BANE;D;05/08/21;000000;1390.0000000;1408.0000000;1301.5000000;1360.0000000;30901
BANE;D;06/08/21;000000;1363.0000000;1370.5000000;1351.0000000;1355.0000000;8499
BANE;D;09/08/21;000000;1354.5000000;1365.0000000;1328.0000000;1336.0000000;11306
BANE;D;10/08/21;000000;1340.0000000;1350.0000000;1338.0000000;1343.0000000;3374
BANE;D;11/08/21;000000;1347.0000000;1373.5000000;1345.0000000;1360.0000000;10200
BANE;D;12/08/21;000000;1366.0000000;1368.5000000;1350.0000000;1357.0000000;4069
BANE;D;13/08/21;000000;1357.0000000;1419.0000000;1347.0000000;1397.0000000;59444
BANE;D;16/08/21;000000;1390.0000000;1423.5000000;1390.0000000;1415.0000000;25065
BANE;D;17/08/21;000000;1420.0000000;1544.0000000;1418.0000000;1519.5000000;73059
BANE;D;18/08/21;000000;1527.5000000;1600.0000000;1500.0000000;1520.5000000;137798
BANE;D;19/08/21;000000;1501.0000000;1501.0000000;1452.5000000;1457.5000000;39452
BANE;D;20/08/21;000000;1458.0000000;1478.5000000;1434.0000000;1445.5000000;19511
BANE;D;23/08/21;000000;1446.5000000;1510.0000000;1446.5000000;1473.0000000;15015
BANE;D;24/08/21;000000;1480.0000000;1491.0000000;1450.0000000;1464.5000000;9772
BANE;D;25/08/21;000000;1466.0000000;1466.0000000;1452.5000000;1458.0000000;3368
BANE;D;26/08/21;000000;1464.0000000;1464.0000000;1431.5000000;1435.0000000;6758
BANE;D;27/08/21;000000;1442.0000000;1458.0000000;1433.0000000;1442.0000000;5096
BANE;D;30/08/21;000000;1442.0000000;1458.0000000;1442.0000000;1446.5000000;4947
BANE;D;31/08/21;000000;1457.5000000;1465.5000000;1441.5000000;1445.0000000;8771
BANE;D;01/09/21;000000;1447.0000000;1459.0000000;1445.0000000;1454.0000000;5970
BANE;D;02/09/21;000000;1455.0000000;1499.5000000;1455.0000000;1486.0000000;13889
BANE;D;03/09/21;000000;1498.0000000;1500.0000000;1457.0000000;1461.5000000;9889
BANE;D;06/09/21;000000;1471.0000000;1475.0000000;1445.0000000;1448.0000000;6538
BANE;D;07/09/21;000000;1456.5000000;1456.5000000;1433.0000000;1448.5000000;5580
BANE;D;08/09/21;000000;1448.5000000;1452.5000000;1438.5000000;1441.0000000;3429
BANE;D;09/09/21;000000;1452.0000000;1494.5000000;1438.5000000;1452.5000000;21671
BANE;D;10/09/21;000000;1453.0000000;1456.5000000;1441.5000000;1446.0000000;4238
BANE;D;13/09/21;000000;1449.5000000;1462.5000000;1446.0000000;1454.0000000;4741
BANE;D;14/09/21;000000;1462.5000000;1463.5000000;1436.0000000;1436.5000000;5427
BANE;D;15/09/21;000000;1475.0000000;1524.0000000;1435.0000000;1518.5000000;57715
BANE;D;16/09/21;000000;1518.0000000;1530.5000000;1455.0000000;1455.0000000;23344
BANE;D;17/09/21;000000;1455.0000000;1495.0000000;1451.5000000;1463.5000000;8907
BANE;D;20/09/21;000000;1463.5000000;1481.5000000;1405.0000000;1418.0000000;18768
BANE;D;21/09/21;000000;1417.5000000;1451.0000000;1391.5000000;1405.0000000;14573
BANE;D;22/09/21;000000;1424.0000000;1432.5000000;1405.0000000;1416.5000000;7729
BANE;D;23/09/21;000000;1423.0000000;1429.0000000;1401.0000000;1414.5000000;8712
BANE;D;24/09/21;000000;1414.0000000;1428.5000000;1400.0000000;1415.0000000;8808
BANE;D;27/09/21;000000;1423.5000000;1446.0000000;1422.5000000;1443.0000000;7940
BANE;D;28/09/21;000000;1450.0000000;1515.0000000;1450.0000000;1472.0000000;36183
BANE;D;29/09/21;000000;1468.5000000;1468.5000000;1444.0000000;1449.5000000;9047
BANE;D;30/09/21;000000;1467.5000000;1468.5000000;1445.5000000;1454.0000000;10028
BANE;D;01/10/21;000000;1449.0000000;1474.5000000;1446.5000000;1464.0000000;8073
