<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;02/08/21;00:00;306.3100000;308.6300000;306.0600000;306.5100000;31506510
SBER;D;03/08/21;00:00;306.3100000;309.8900000;306.2500000;309.8900000;33788860
SBER;D;04/08/21;00:00;310.2600000;312.0000000;309.2500000;311.1000000;30666580
SBER;D;05/08/21;00:00;311.0200000;315.9100000;310.8200000;315.8200000;37290300
SBER;D;06/08/21;00:00;316.1000000;320.0000000;315.3100000;319.1500000;54096400
SBER;D;09/08/21;00:00;318.5600000;328.3000000;317.6200000;326.9100000;71958140
SBER;D;10/08/21;00:00;328.0500000;331.2900000;326.9700000;330.1100000;41507840
SBER;D;11/08/21;00:00;330.7000000;330.9800000;326.2100000;329.9000000;34418000
SBER;D;12/08/21;00:00;330.0000000;330.6400000;327.3000000;328.5700000;20985080
SBER;D;13/08/21;00:00;328.6000000;330.2700000;327.3100000;328.6800000;18758270
SBER;D;16/08/21;00:00;327.5600000;330.5200000;327.1300000;329.3600000;23916510
SBER;D;17/08/21;00:00;329.0000000;335.7000000;328.5500000;334.5000000;42463620
SBER;D;18/08/21;00:00;336.0500000;338.9900000;333.2600000;334.9000000;36270350
SBER;D;19/08/21;00:00;333.5000000;334.0000000;329.1000000;332.6900000;45936410
SBER;D;20/08/21;00:00;332.2000000;333.2700000;325.1700000;325.6700000;36352850
SBER;D;23/08/21;00:00;327.8500000;329.8100000;326.5500000;329.2200000;20539290
SBER;D;24/08/21;00:00;330.3700000;331.2200000;323.3200000;324.8300000;35650540
SBER;D;25/08/21;00:00;324.2900000;325.3200000;321.2600000;324.5700000;28071640
SBER;D;26/08/21;00:00;324.0300000;325.5500000;320.5800000;322.5400000;27463480
SBER;D;27/08/21;00:00;323.7400000;327.5000000;321.8000000;327.4100000;27792410
SBER;D;30/08/21;00:00;328.4200000;329.3800000;326.5100000;328.2800000;20356090
SBER;D;31/08/21;00:00;328.5400000;330.4800000;327.3000000;327.9400000;32440160
SBER;D;01/09/21;00:00;328.8700000;334.6400000;328.0300000;334.5700000;30671130
SBER;D;02/09/21;00:00;334.6700000;334.9100000;328.7700000;329.0000000;31562590
SBER;D;03/09/21;00:00;329.4700000;330.5300000;326.6200000;329.7100000;29597400
SBER;D;06/09/21;00:00;330.0000000;331.4500000;328.5000000;329.3700000;17467620
SBER;D;07/09/21;00:00;329.8200000;330.7300000;324.6400000;325.9600000;24443360
SBER;D;08/09/21;00:00;325.9600000;332.7400000;322.8400000;331.7000000;47818530
SBER;D;09/09/21;00:00;330.4000000;330.4000000;325.6900000;326.0100000;29884250
SBER;D;10/09/21;00:00;328.0100000;328.4300000;325.2100000;326.2500000;17390450
SBER;D;13/09/21;00:00;327.0200000;328.1400000;324.0100000;327.4100000;24349520
SBER;D;14/09/21;00:00;327.4500000;328.8400000;325.4800000;326.4800000;22491700
SBER;D;15/09/21;00:00;326.4600000;334.6000000;326.4600000;333.5100000;43810600
SBER;D;16/09/21;00:00;333.0400000;334.5000000;324.9100000;326.9900000;62479270
SBER;D;17/09/21;00:00;326.9000000;331.7300000;325.7000000;329.5600000;54120880
SBER;D;20/09/21;00:00;327.0100000;328.8500000;325.0000000;326.9200000;31671550
SBER;D;21/09/21;00:00;328.4400000;329.4800000;322.3900000;323.2500000;47704160
SBER;D;22/09/21;00:00;325.2800000;328.9000000;322.5000000;327.8000000;38085450
SBER;D;23/09/21;00:00;328.9400000;329.4000000;325.1300000;327.0200000;27033650
SBER;D;24/09/21;00:00;326.0800000;326.2300000;323.6200000;325.4400000;24552590
SBER;D;27/09/21;00:00;326.3200000;332.4600000;326.0900000;331.6800000;34346920
SBER;D;28/09/21;00:00;332.0600000;334.4800000;328.3200000;329.3000000;52511780
SBER;D;29/09/21;00:00;329.0900000;330.4500000;327.1500000;328.4300000;27597990
SBER;D;30/09/21;00:00;329.9800000;342.2000000;329.4500000;340.9900000;83549930
SBER;D;01/10/21;00:00;339.2100000;339.9400000;336.0800000;338.4800000;37617680
